column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007344	8007344	0.999083	1.000000	0.999083	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	138409995	29434285	29434285	4.702339	1.000000	4.702339	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	8000000	7349361	7349361	1.088530	1.000000	1.088530	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	4000000	7947	7947	503.334592	1.000000	503.334592	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007342	8007342	0.999083	1.000000	0.999083	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	88562192	44347200	44347200	1.997019	1.000000	1.997019	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	79583339	34568866	34568866	2.302168	1.000000	2.302168	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005849	4005849	0.998540	1.000000	0.998540	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3354477	270712	270712	12.391313	1.000000	12.391313	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3767530	153226	153226	24.588059	1.000000	24.588059	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	81583	27804	27804	2.934218	1.000000	2.934218	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	0	6459	6459	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3528017	1648351	1648351	2.140331	1.000000	2.140331	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005848	4005848	0.998540	1.000000	0.998540	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	8000000	7222097	7222097	1.107712	1.000000	1.107712	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
PageCharset	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	13587860	13155	13155	1032.904599	1.000000	1032.904599	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007345	8007345	0.999083	1.000000	0.999083	18077896
OriginalURL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	27797671	21303356	21303356	1.304849	1.000000	1.304849	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
HitColor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	1000000	36204	36204	27.621257	1.000000	27.621257	1000000
LocalEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	8000000	7347509	7347509	1.088804	1.000000	1.088804	19000000
