column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	8000000	9801694	9801694	0.816185	1.000000	0.816185	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	81598	81598	49.020809	1.000000	49.020809	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:468	1000000	138409995	64481396	64481396	2.146511	1.000000	2.146511	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	6605	6605	605.601817	1.000000	605.601817	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:76	1000000	8000000	8006075	8006075	0.999241	1.000000	0.999241	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	6605	6605	605.601817	1.000000	605.601817	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	6652	6652	601.322910	1.000000	601.322910	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	927387	927387	4.313194	1.000000	4.313194	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	435780	435780	9.178944	1.000000	9.178944	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	8000000	1215714	1215714	6.580495	1.000000	6.580495	18637316
