column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	8000000	9716176	9716176	0.823369	1.000000	0.823369	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	85410	85410	46.832924	1.000000	46.832924	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:355	1000000	138409995	142900405	142900405	0.968577	1.000000	0.968577	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	10168	10168	393.391031	1.000000	393.391031	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	8000000	7398112	7398112	1.081357	1.000000	1.081357	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:119	1000000	4000000	4007485	4007485	0.998132	1.000000	0.998132	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	10205	10205	391.964723	1.000000	391.964723	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	904379	904379	4.422924	1.000000	4.422924	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	437570	437570	9.141395	1.000000	9.141395	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	8000000	1193132	1193132	6.705042	1.000000	6.705042	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	10168	10168	393.391031	1.000000	393.391031	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	235985	235985	16.950230	1.000000	16.950230	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	228489	228489	17.506313	1.000000	17.506313	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:251	1000000	88562192	92659669	92659669	0.955779	1.000000	0.955779	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:227	1000000	79583339	83652846	83652846	0.951352	1.000000	0.951352	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	98363	98363	40.665697	1.000000	40.665697	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	491349	491349	8.140853	1.000000	8.140853	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	358982	358982	11.142620	1.000000	11.142620	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	160237	160237	24.963024	1.000000	24.963024	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	77521	77521	51.598922	1.000000	51.598922	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	351734	351734	11.372230	1.000000	11.372230	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:119, DICTIONARY_PAGE/PLAIN:119	1000000	4000000	362728	362728	11.027547	1.000000	11.027547	3407277
