column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	8000000	9831911	9831911	0.813677	1.000000	0.813677	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	80810	80810	49.498824	1.000000	49.498824	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	138409995	29048702	29048702	4.764757	1.000000	4.764757	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	5822	5822	687.049124	1.000000	687.049124	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	8000000	7366470	7366470	1.086002	1.000000	1.086002	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	5822	5822	687.049124	1.000000	687.049124	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	5867	5867	681.779444	1.000000	681.779444	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	929573	929573	4.303051	1.000000	4.303051	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	436831	436831	9.156859	1.000000	9.156859	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	8000000	1216562	1216562	6.575908	1.000000	6.575908	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	5822	5822	687.049124	1.000000	687.049124	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	232034	232034	17.238853	1.000000	17.238853	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	226897	226897	17.629145	1.000000	17.629145	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	88562192	44202302	44202302	2.003565	1.000000	2.003565	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	79583339	34470590	34470590	2.308732	1.000000	2.308732	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	93565	93565	42.751029	1.000000	42.751029	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	504828	504828	7.923491	1.000000	7.923491	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	372392	372392	10.741369	1.000000	10.741369	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	158215	158215	25.282053	1.000000	25.282053	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	74539	74539	53.663183	1.000000	53.663183	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	364421	364421	10.976316	1.000000	10.976316	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	370782	370782	10.788010	1.000000	10.788010	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:67, DICTIONARY_PAGE/PLAIN:67	1000000	4000000	112214	112214	35.646176	1.000000	35.646176	1994256
