column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004798	8005218	0.999401	0.999948	0.999348	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003779	262074	0.999056	15.277284	15.262865	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:516	1000000	138409995	64474980	17113334	2.146724	3.767529	8.087845	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	204313	0.999057	19.596291	19.577805	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7351408	5533118	1.088227	1.328619	1.445839	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	204310	0.999057	19.596564	19.578092	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003780	204341	0.999056	19.593620	19.575122	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003832	719335	0.999043	5.566019	5.560691	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003781	396592	0.999056	10.095466	10.085932	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004797	1084853	0.999401	7.378693	7.374271	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	204145	0.999057	19.612408	19.593916	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	318015	0.999057	12.589894	12.578023	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003779	342190	0.999056	11.700456	11.689412	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:340	1000000	88562192	40459972	18056749	2.188884	2.240712	4.904659	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:308	1000000	79583339	38993379	17334141	2.040945	2.249513	4.591133	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003809	491896	0.999049	8.139544	8.131800	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003807	509011	0.999049	7.865856	7.858376	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003798	458114	0.999051	8.739742	8.731451	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	271974	0.999057	14.721165	14.707288	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003773	232266	0.999058	17.237878	17.221634	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003781	373383	0.999056	10.722987	10.712861	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	373210	0.999057	10.727944	10.717826	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	282953	0.999057	14.149968	14.136623	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	245310	0.999057	16.321296	16.305899	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	328373	0.999056	12.192775	12.181269	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	3354477	1041625	395517	3.220427	2.633578	8.481246	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	219168	0.999056	18.268077	18.250840	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	217309	0.999057	18.424345	18.406969	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	365318	0.999057	10.959698	10.949365	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	3767530	862795	237078	4.366657	3.639287	15.891521	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	204770	0.999057	19.552557	19.534111	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	204916	0.999057	19.538616	19.520194	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	218464	0.999057	18.326942	18.309653	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	215394	0.999057	18.588155	18.570619	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	81583	282207	57114	0.289089	4.941118	1.428424	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	0	81485	6943	0.000000	11.736281	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003813	560874	0.999048	7.138525	7.131727	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003811	526656	0.999048	7.602327	7.595091	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	293127	0.999057	13.658844	13.645962	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	3528017	2960390	994289	1.191741	2.977394	3.548281	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	220304	0.999056	18.173878	18.156729	1004631
