column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004878	8005305	0.999391	0.999947	0.999337	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	262100	0.999041	15.276005	15.261351	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:505	1000000	138409995	140035329	21330632	0.988393	6.564987	6.488790	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	204380	0.999041	19.590170	19.571387	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004877	4282936	0.999391	1.869016	1.867878	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	204381	0.999041	19.590079	19.571291	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204401	0.999041	19.588167	19.569376	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003898	719461	0.999026	5.565136	5.559718	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003845	396522	0.999040	10.097409	10.087713	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004876	1084964	0.999391	7.378011	7.373517	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204209	0.999041	19.606584	19.587775	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	318052	0.999041	12.588633	12.576560	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003842	342280	0.999040	11.697563	11.686339	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:342	1000000	88562192	89784410	20793159	0.986387	4.317978	4.259199	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:298	1000000	79583339	80832605	19459948	0.984545	4.153793	4.089597	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003872	492025	0.999033	8.137538	8.129668	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003870	509051	0.999033	7.865361	7.857759	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003857	458145	0.999037	8.739279	8.730860	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	272025	0.999041	14.718640	14.704531	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	232260	0.999041	17.238608	17.222079	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	373575	0.999041	10.717634	10.707355	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	373255	0.999041	10.726825	10.716534	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	283049	0.999041	14.145395	14.131829	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	245380	0.999041	16.316892	16.301247	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	328477	0.999041	12.189097	12.177413	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:61	1000000	3354477	3707607	433313	0.904755	8.556418	7.741464	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	219196	0.999041	18.266031	18.248508	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	217360	0.999041	18.420312	18.402650	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	365135	0.999041	10.965372	10.954852	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:61	1000000	3767530	4017088	327938	0.937876	12.249535	11.488544	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	205010	0.999041	19.529979	19.511243	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	204998	0.999041	19.531112	19.512385	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	218511	0.999041	18.323288	18.305715	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	215462	0.999041	18.582581	18.564759	1001922
MobilePhoneModel	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:61	1000000	81583	232073	42859	0.351540	5.414802	1.903521	81583
Params	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:61	1000000	0	41860	4896	0.000000	8.549837	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003876	560892	0.999032	7.138408	7.131498	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003870	526838	0.999033	7.599812	7.592467	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	293173	0.999041	13.656912	13.643821	1006573
SearchPhrase	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:61	1000000	3528017	4225613	1015186	0.834912	4.162403	3.475242	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	220370	0.999041	18.168707	18.151291	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003876	505852	0.999032	7.915114	7.907451	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003868	516785	0.999034	7.747647	7.740163	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003882	551793	0.999030	7.256130	7.249095	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	285699	0.999041	14.014183	14.000749	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004877	4229262	0.999391	1.892736	1.891583	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	287274	0.999042	13.937346	13.923989	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	269759	0.999041	14.842285	14.828050	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	304934	0.999041	13.130189	13.117593	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204246	0.999041	19.603033	19.584227	1000000
PageCharset	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:91	1000000	13587860	13657791	699176	0.994880	19.534124	19.434105	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	205234	0.999041	19.508649	19.489948	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	256514	0.999042	15.608649	15.593691	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	206696	0.999041	19.370660	19.352092	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003844	235455	0.999040	17.004710	16.988384	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004874	1151665	0.999391	6.950697	6.946464	18077896
OriginalURL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:142	1000000	27797671	28799318	7056438	0.965220	4.081283	3.939335	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003901	3688243	0.999026	1.085585	1.084527	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204209	0.999041	19.606584	19.587775	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204209	0.999041	19.606584	19.587775	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204209	0.999041	19.606584	19.587775	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003842	295696	0.999040	13.540400	13.527407	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003841	204209	0.999041	19.606584	19.587775	1000000
HitColor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:61	1000000	1000000	1043305	77129	0.958492	13.526754	12.965292	1000000
LocalEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004878	4284692	0.999391	1.868251	1.867112	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	333985	0.999041	11.988080	11.976586	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003836	302637	0.999042	13.229830	13.217155	1000000
