column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004952	8005384	0.999381	0.999946	0.999327	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	262184	0.999025	15.271348	15.256461	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:502	1000000	138409995	140028969	21331689	0.988438	6.564364	6.488469	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	204452	0.999026	19.583560	19.564494	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7358904	5537371	1.087118	1.328953	1.444729	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003895	204449	0.999027	19.583833	19.564781	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	204474	0.999026	19.581453	19.562389	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003960	719550	0.999011	5.564533	5.559030	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	396840	0.999026	10.089452	10.079629	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004954	1085028	0.999381	7.377647	7.373082	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204280	0.999025	19.600069	19.580967	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003895	318147	0.999027	12.585047	12.572804	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	342318	0.999026	11.696434	11.685041	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:340	1000000	88562192	89783900	20794298	0.986393	4.317717	4.258965	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:294	1000000	79583339	80833557	19469820	0.984533	4.151736	4.087523	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003931	492079	0.999018	8.136765	8.128776	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003929	509257	0.999019	7.862295	7.854580	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003916	458275	0.999022	8.736929	8.728384	2814059
