column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004954	8005387	0.999381	0.999946	0.999327	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	262157	0.999026	15.272909	15.258032	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	138409995	28851140	10016895	4.797384	2.880248	13.817655	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204445	0.999026	19.584245	19.565164	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7344624	5516487	1.089232	1.331395	1.450198	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	4000000	5390	5638	742.115028	0.956013	709.471444	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204467	0.999026	19.582138	19.563059	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003954	719522	0.999012	5.564742	5.559246	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	396952	0.999025	10.086615	10.076785	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004952	1085045	0.999381	7.377530	7.372966	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204274	0.999025	19.600644	19.581542	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	318178	0.999026	12.583834	12.571579	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	342417	0.999026	11.693050	11.681663	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	88562192	44096024	16097159	2.008394	2.739367	5.501728	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	79583339	34412758	14810368	2.312611	2.323559	5.373488	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003931	492045	0.999018	8.137327	8.129338	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003934	509148	0.999017	7.863988	7.856262	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003918	458326	0.999021	8.735961	8.727412	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	272034	0.999025	14.718388	14.704044	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	232309	0.999026	17.235230	17.218446	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	373607	0.999026	10.716879	10.706438	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	373389	0.999026	10.723136	10.712688	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	283100	0.999025	14.143066	14.129283	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	245464	0.999026	16.311561	16.295669	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	328545	0.999026	12.186766	12.174892	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3354477	266945	182893	12.566173	1.459569	18.341199	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	219269	0.999026	18.260215	18.242433	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	217430	0.999026	18.414662	18.396725	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	365435	0.999026	10.956534	10.945859	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3767530	150758	104679	24.990581	1.440193	35.991269	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204938	0.999025	19.537138	19.518098	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	205090	0.999026	19.522653	19.503633	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	218606	0.999026	18.315600	18.297759	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	215515	0.999026	18.578289	18.560193	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	81583	25292	23267	3.225644	1.087033	3.506382	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	0	4398	4646	0.000000	0.946621	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003937	561200	0.999017	7.134599	7.127584	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003935	526982	0.999017	7.597859	7.590392	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	293256	0.999026	13.653252	13.639960	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3528017	1643743	786559	2.146331	2.089790	4.485381	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003897	220416	0.999027	18.165183	18.147503	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003935	505905	0.999017	7.914401	7.906623	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003930	517073	0.999018	7.743452	7.735852	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003941	552216	0.999016	7.250679	7.243542	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	285811	0.999025	14.008918	13.995263	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7220619	5442970	1.107938	1.326595	1.469786	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	287388	0.999027	13.932022	13.918466	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	269865	0.999026	14.836681	14.822226	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	305069	0.999027	13.124559	13.111788	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204311	0.999025	19.597095	19.577996	1000000
PageCharset	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	13587860	9160	9344	1483.390830	0.980308	1454.180223	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	205293	0.999026	19.503349	19.484347	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	256589	0.999026	15.604332	15.589133	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	206761	0.999026	19.364866	19.346008	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003904	235482	0.999025	17.003015	16.986436	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004952	1151769	0.999381	6.950137	6.945837	18077896
