column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004558	8005362	0.999431	0.999900	0.999330	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	64124	0.999104	62.435063	62.379140	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:528	1000000	138409995	64475334	13981020	2.146712	4.611633	9.899850	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003530	4921	0.999118	813.560252	812.842918	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	8000000	7359695	4041465	1.087002	1.821046	1.979480	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	4000000	4955	5981	807.265388	0.828457	668.784484	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003528	4937	0.999119	810.923233	810.208629	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003601	408179	0.999101	9.808444	9.799622	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	190719	0.999104	20.992083	20.973264	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004556	617984	0.999431	12.952691	12.945319	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	106902	0.999105	37.450955	37.417448	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	133855	0.999104	29.909880	29.883082	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:356	1000000	88562192	40465813	15084075	2.188568	2.682684	5.871238	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:328	1000000	79583339	38991616	14559582	2.041037	2.678072	5.466046	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	178944	0.999103	22.373424	22.353362	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003591	275235	0.999103	14.546082	14.533035	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	231308	0.999104	17.308472	17.292960	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	87526	0.999104	45.741711	45.700706	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	48056	0.999104	83.310846	83.236224	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	187255	0.999104	21.380412	21.361245	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	186162	0.999104	21.505936	21.486662	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	82209	0.999104	48.700118	48.656473	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	53261	0.999105	75.169167	75.101857	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	128717	0.999105	31.103770	31.075926	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	3354477	1044592	326518	3.211280	3.199187	10.273483	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	26696	0.999105	149.969471	149.835181	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	25196	0.999104	158.897762	158.755358	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	155697	0.999104	25.713964	25.690925	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	3767530	861075	179344	4.375380	4.801248	21.007282	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003540	6062	0.999116	660.432201	659.848235	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003546	6568	0.999114	609.553289	609.013398	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	28938	0.999105	138.350335	138.226553	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	22963	0.999103	174.349606	174.193267	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	81583	282106	40978	0.289193	6.884328	1.990898	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	0	81268	3683	0.000000	22.065707	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003591	323723	0.999103	12.367336	12.356243	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	288217	0.999104	13.890884	13.878432	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	101750	0.999105	39.347243	39.312039	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	3528017	2962039	826774	1.191077	3.582647	4.267208	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	30708	0.999105	130.375928	130.259216	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	164905	0.999104	24.278136	24.256390	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	305934	0.999104	13.086443	13.074715	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003592	320050	0.999103	12.509270	12.498047	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	99906	0.999104	40.073549	40.037635	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	8000000	7210429	3978343	1.109504	1.812420	2.010887	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	90795	0.999105	44.094774	44.055289	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	74555	0.999104	53.699779	53.651667	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	123972	0.999104	32.294276	32.265350	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4362	0.999119	917.819578	917.010546	1000000
PageCharset	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:85	1000000	13587860	141442	21618	96.066656	6.542788	628.543806	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003552	7113	0.999113	562.849993	562.350626	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003558	56764	0.999111	70.529878	70.467198	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003556	8054	0.999112	497.089148	496.647629	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003539	25192	0.999116	158.921046	158.780565	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004552	694042	0.999431	11.533239	11.526680	18077896
OriginalURL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:137	1000000	27797671	21050080	5588682	1.320549	3.766555	4.973922	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003646	3804388	0.999089	1.052376	1.051417	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	82616	0.999104	48.460201	48.416772	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
HitColor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	1000000	206677	50887	4.838468	4.061489	19.651384	1000000
