column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004557	8005365	0.999431	0.999899	0.999330	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	63644	0.999105	62.905898	62.849601	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:528	1000000	138409995	142869584	13939135	0.968786	10.249530	9.929597	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003531	4925	0.999118	812.899695	812.182741	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004556	2517896	0.999431	3.179065	3.177256	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4923	0.999119	813.229535	812.512696	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003530	4941	0.999118	810.267152	809.552722	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003599	408069	0.999101	9.811083	9.802264	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	191174	0.999104	20.942105	20.923347	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004550	618298	0.999432	12.946104	12.938745	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4240	0.999119	944.228538	943.396226	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	105905	0.999104	37.803569	37.769699	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	135169	0.999104	29.619114	29.592584	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:356	1000000	88562192	92652677	15306955	0.955851	6.052979	5.785749	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:326	1000000	79583339	83647728	14218039	0.951411	5.883211	5.597350	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	178941	0.999104	22.373782	22.353737	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	275135	0.999105	14.551348	14.538318	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	231356	0.999104	17.304872	17.289372	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	87570	0.999105	45.718682	45.677744	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	48124	0.999104	83.193147	83.118610	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	187141	0.999105	21.393409	21.374258	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	186024	0.999104	21.521879	21.502602	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	82090	0.999104	48.770703	48.727007	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	53604	0.999104	74.688195	74.621297	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	126766	0.999104	31.582491	31.554202	1318244
