column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	8000000	7994083	7994083	1.000740	1.000000	1.000740	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	199469	199469	20.053241	1.000000	20.053241	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:420	1000000	138409995	64476862	64476862	2.146661	1.000000	2.146661	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	45500	45500	87.912088	1.000000	87.912088	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:80	1000000	8000000	8006382	8006382	0.999203	1.000000	0.999203	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	56271	56271	71.084573	1.000000	71.084573	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	49562	49562	80.706993	1.000000	80.706993	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	3754369	3754369	1.065425	1.000000	1.065425	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1486087	1486087	2.691632	1.000000	2.691632	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	8000000	4400458	4400458	1.817993	1.000000	1.817993	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	44696	44696	89.493467	1.000000	89.493467	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	847016	847016	4.722461	1.000000	4.722461	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	689741	689741	5.799278	1.000000	5.799278	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:288	1000000	88562192	40467850	40467850	2.188458	1.000000	2.188458	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:260	1000000	79583339	38991192	38991192	2.041059	1.000000	2.041059	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	235646	235646	16.974614	1.000000	16.974614	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1867090	1867090	2.142371	1.000000	2.142371	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1369814	1369814	2.920104	1.000000	2.920104	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1087751	1087751	3.677312	1.000000	3.677312	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	725988	725988	5.509733	1.000000	5.509733	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1288777	1288777	3.103718	1.000000	3.103718	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1346878	1346878	2.969831	1.000000	2.969831	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	555160	555160	7.205130	1.000000	7.205130	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	402413	402413	9.940037	1.000000	9.940037	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	525021	525021	7.618743	1.000000	7.618743	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	3354477	1045606	1045606	3.208165	1.000000	3.208165	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	161530	161530	24.763202	1.000000	24.763202	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	199098	199098	20.090609	1.000000	20.090609	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	663599	663599	6.027737	1.000000	6.027737	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	3767530	863253	863253	4.364340	1.000000	4.364340	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	48393	48393	82.656583	1.000000	82.656583	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	49419	49419	80.940529	1.000000	80.940529	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	116491	116491	34.337417	1.000000	34.337417	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	146535	146535	27.297233	1.000000	27.297233	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	81583	284115	284115	0.287148	1.000000	0.287148	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	0	82526	82526	0.000000	1.000000	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	2662817	2662817	1.502169	1.000000	1.502169	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	498837	498837	8.018651	1.000000	8.018651	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	380900	380900	10.501444	1.000000	10.501444	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	3528017	2963780	2963780	1.190377	1.000000	1.190377	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	204157	204157	19.592764	1.000000	19.592764	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	198266	198266	20.174917	1.000000	20.174917	1000000
WindowClientWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1359496	1359496	2.942267	1.000000	2.942267	3825106
WindowClientHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1255143	1255143	3.186888	1.000000	3.186888	3055745
ClientTimeZone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	979975	979975	4.081737	1.000000	4.081737	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:80	1000000	8000000	8006383	8006383	0.999203	1.000000	0.999203	19000000
SilverlightVersion1	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	438963	438963	9.112385	1.000000	9.112385	1000017
SilverlightVersion2	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	209023	209023	19.136650	1.000000	19.136650	1000000
SilverlightVersion3	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1863872	1863872	2.146070	1.000000	2.146070	2728282
SilverlightVersion4	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	45187	45187	88.521035	1.000000	88.521035	1000000
