column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	8000000	7993979	7993979	1.000753	1.000000	1.000753	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	4000000	199711	199711	20.028942	1.000000	20.028942	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:416	1000000	138409995	64477933	64477933	2.146626	1.000000	2.146626	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	4000000	45602	45602	87.715451	1.000000	87.715451	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:81, DICTIONARY_PAGE/PLAIN:81	1000000	8000000	7404068	7404068	1.080487	1.000000	1.080487	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:81	1000000	4000000	4005146	4005146	0.998715	1.000000	0.998715	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	4000000	50047	50047	79.924871	1.000000	79.924871	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	4000000	3752260	3752260	1.066024	1.000000	1.066024	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	4000000	1488304	1488304	2.687623	1.000000	2.687623	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:81	1000000	8000000	4397029	4397029	1.819410	1.000000	1.819410	18637316
