column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	8000000	7993411	7993411	1.000824	1.000000	1.000824	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	199398	199398	20.060382	1.000000	20.060382	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:416	1000000	138409995	64479422	64479422	2.146576	1.000000	2.146576	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	45509	45509	87.894702	1.000000	87.894702	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:80	1000000	8000000	8006381	8006381	0.999203	1.000000	0.999203	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:80, DICTIONARY_PAGE/PLAIN:80	1000000	4000000	6937	6937	576.618135	1.000000	576.618135	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	49673	49673	80.526644	1.000000	80.526644	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	3753231	3753231	1.065748	1.000000	1.065748	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1487484	1487484	2.689105	1.000000	2.689105	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	8000000	4392699	4392699	1.821204	1.000000	1.821204	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	44686	44686	89.513494	1.000000	89.513494	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	846719	846719	4.724117	1.000000	4.724117	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	688499	688499	5.809740	1.000000	5.809740	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:288	1000000	88562192	40468379	40468379	2.188429	1.000000	2.188429	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:258	1000000	79583339	38991800	38991800	2.041028	1.000000	2.041028	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	235655	235655	16.973966	1.000000	16.973966	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1864098	1864098	2.145810	1.000000	2.145810	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1367470	1367470	2.925110	1.000000	2.925110	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1085460	1085460	3.685074	1.000000	3.685074	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	728781	728781	5.488617	1.000000	5.488617	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1286006	1286006	3.110405	1.000000	3.110405	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1343863	1343863	2.976494	1.000000	2.976494	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	554397	554397	7.215046	1.000000	7.215046	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	404119	404119	9.898075	1.000000	9.898075	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	526179	526179	7.601976	1.000000	7.601976	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	3354477	1044845	1044845	3.210502	1.000000	3.210502	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	161077	161077	24.832844	1.000000	24.832844	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	198731	198731	20.127710	1.000000	20.127710	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	662783	662783	6.035158	1.000000	6.035158	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	3767530	863232	863232	4.364447	1.000000	4.364447	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	48414	48414	82.620730	1.000000	82.620730	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	49431	49431	80.920880	1.000000	80.920880	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	116489	116489	34.338006	1.000000	34.338006	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	146135	146135	27.371951	1.000000	27.371951	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	81583	283949	283949	0.287316	1.000000	0.287316	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	0	82515	82515	0.000000	1.000000	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	2660233	2660233	1.503628	1.000000	1.503628	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	497805	497805	8.035275	1.000000	8.035275	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	380505	380505	10.512345	1.000000	10.512345	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:80	1000000	3528017	2964321	2964321	1.190160	1.000000	1.190160	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	203884	203884	19.618999	1.000000	19.618999	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	198164	198164	20.185301	1.000000	20.185301	1000000
WindowClientWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1359590	1359590	2.942063	1.000000	2.942063	3825106
WindowClientHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	1254001	1254001	3.189790	1.000000	3.189790	3055745
ClientTimeZone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	977088	977088	4.093797	1.000000	4.093797	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:80	1000000	8000000	8006376	8006376	0.999204	1.000000	0.999204	19000000
SilverlightVersion1	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	438818	438818	9.115396	1.000000	9.115396	1000017
SilverlightVersion2	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:80	1000000	4000000	209134	209134	19.126493	1.000000	19.126493	1000000
