column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	8000000	8001518	8001518	0.999810	1.000000	0.999810	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	201812	201812	19.820427	1.000000	19.820427	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:347	1000000	138409995	140044961	140044961	0.988325	1.000000	0.988325	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	47848	47848	83.598061	1.000000	83.598061	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:111	1000000	8000000	8008765	8008765	0.998906	1.000000	0.998906	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:111	1000000	4000000	4006986	4006986	0.998257	1.000000	0.998257	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	53357	53357	74.966734	1.000000	74.966734	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	3763244	3763244	1.062913	1.000000	1.062913	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	1490227	1490227	2.684155	1.000000	2.684155	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	8000000	4419788	4419788	1.810042	1.000000	1.810042	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	46767	46767	85.530395	1.000000	85.530395	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	852398	852398	4.692644	1.000000	4.692644	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	691217	691217	5.786895	1.000000	5.786895	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:275	1000000	88562192	89791701	89791701	0.986307	1.000000	0.986307	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:251	1000000	79583339	80840637	80840637	0.984447	1.000000	0.984447	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	237738	237738	16.825245	1.000000	16.825245	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	1870382	1870382	2.138601	1.000000	2.138601	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	1374526	1374526	2.910094	1.000000	2.910094	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	1089745	1089745	3.670583	1.000000	3.670583	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	729872	729872	5.480413	1.000000	5.480413	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:111	1000000	4000000	1292604	1292604	3.094529	1.000000	3.094529	3967065
