column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	8001591	8001591	0.999801	1.000000	0.999801	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	201787	201787	19.822883	1.000000	19.822883	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:384	1000000	138409995	140056771	140056771	0.988242	1.000000	0.988242	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	47762	47762	83.748587	1.000000	83.748587	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	3385145	3385145	2.363267	1.000000	2.363267	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:110, DICTIONARY_PAGE/PLAIN:110	1000000	4000000	9398	9398	425.622473	1.000000	425.622473	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	53042	53042	75.411938	1.000000	75.411938	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	3769883	3769883	1.061041	1.000000	1.061041	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1490509	1490509	2.683647	1.000000	2.683647	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	4410568	4410568	1.813825	1.000000	1.813825	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	851358	851358	4.698376	1.000000	4.698376	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	692312	692312	5.777742	1.000000	5.777742	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:270	1000000	88562192	89791197	89791197	0.986313	1.000000	0.986313	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:250	1000000	79583339	80839247	80839247	0.984464	1.000000	0.984464	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	237478	237478	16.843666	1.000000	16.843666	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1871581	1871581	2.137231	1.000000	2.137231	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1373881	1373881	2.911460	1.000000	2.911460	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1090213	1090213	3.669008	1.000000	3.669008	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	730040	730040	5.479152	1.000000	5.479152	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1290351	1290351	3.099932	1.000000	3.099932	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1349172	1349172	2.964781	1.000000	2.964781	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	558132	558132	7.166763	1.000000	7.166763	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	404394	404394	9.891344	1.000000	9.891344	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	527074	527074	7.589067	1.000000	7.589067	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	3354477	3711698	3711698	0.903758	1.000000	0.903758	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	163029	163029	24.535512	1.000000	24.535512	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	200555	200555	19.944654	1.000000	19.944654	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	666493	666493	6.001563	1.000000	6.001563	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	3767530	4021370	4021370	0.936877	1.000000	0.936877	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	50657	50657	78.962434	1.000000	78.962434	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	51666	51666	77.420354	1.000000	77.420354	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	118065	118065	33.879643	1.000000	33.879643	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	147879	147879	27.049142	1.000000	27.049142	1001922
MobilePhoneModel	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	81583	234219	234219	0.348319	1.000000	0.348319	81583
Params	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	0	44072	44072	0.000000	1.000000	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	2669454	2669454	1.498434	1.000000	1.498434	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	500620	500620	7.990092	1.000000	7.990092	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	382135	382135	10.467505	1.000000	10.467505	1006573
SearchPhrase	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	3528017	4230258	4230258	0.833996	1.000000	0.833996	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	205162	205162	19.496788	1.000000	19.496788	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	200328	200328	19.967254	1.000000	19.967254	1000000
WindowClientWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1361405	1361405	2.938141	1.000000	2.938141	3825106
WindowClientHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1254929	1254929	3.187431	1.000000	3.187431	3055745
ClientTimeZone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	982678	982678	4.070509	1.000000	4.070509	2989177
ClientEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	3506200	3506200	2.281672	1.000000	2.281672	19000000
SilverlightVersion1	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	441373	441373	9.062630	1.000000	9.062630	1000017
SilverlightVersion2	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	211443	211443	18.917628	1.000000	18.917628	1000000
SilverlightVersion3	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1869989	1869989	2.139050	1.000000	2.139050	2728282
SilverlightVersion4	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	47197	47197	84.751149	1.000000	84.751149	1000000
PageCharset	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	13587860	13664794	13664794	0.994370	1.000000	0.994370	13587860
CodeVersion	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	105296	105296	37.988148	1.000000	37.988148	3997297
IsLink	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	144410	144410	27.698913	1.000000	27.698913	1000000
IsDownload	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	57204	57204	69.925180	1.000000	69.925180	1000000
IsNotBounce	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	67557	67557	59.209260	1.000000	59.209260	1000000
FUniqID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	7498373	7498373	1.066898	1.000000	1.066898	18077896
OriginalURL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:158	1000000	27797671	28812465	28812465	0.964779	1.000000	0.964779	27797732
HID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	3960068	3960068	1.010084	1.000000	1.010084	8956330
IsOldCounter	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
IsEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
IsParameter	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
DontCountHits	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	172449	172449	23.195264	1.000000	23.195264	1000000
WithHash	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
HitColor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	1000000	1046547	1046547	0.955523	1.000000	0.955523	1000000
LocalEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	3399951	3399951	2.352975	1.000000	2.352975	19000000
Age	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	748864	748864	5.341424	1.000000	5.341424	1740725
Sex	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	257300	257300	15.546055	1.000000	15.546055	1000000
Income	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	333098	333098	12.008478	1.000000	12.008478	1000000
Interests	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1597115	1597115	2.504516	1.000000	2.504516	2180312
Robotness	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	847226	847226	4.721290	1.000000	4.721290	1423051
RemoteIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	3813182	3813182	1.048993	1.000000	1.048993	10016734
WindowName	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	278469	278469	14.364256	1.000000	14.364256	2197789
OpenerName	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46713	46713	85.629268	1.000000	85.629268	2000000
HistoryLength	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	119722	119722	33.410735	1.000000	33.410735	1940175
BrowserLanguage	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	2001192	2055462	2055462	0.973597	1.000000	0.973597	2001192
BrowserCountry	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	3325142	3642930	3642930	0.912766	1.000000	0.912766	3987713
SocialNetwork	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	0	44072	44072	0.000000	1.000000	0.000000	0
SocialAction	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	0	44072	44072	0.000000	1.000000	0.000000	0
HTTPError	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
SendTiming	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	177306	177306	22.559868	1.000000	22.559868	1035866
DNSTiming	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	811669	811669	4.928117	1.000000	4.928117	1026953
ConnectTiming	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1094796	1094796	3.653649	1.000000	3.653649	1145637
ResponseStartTiming	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1709223	1709223	2.340245	1.000000	2.340245	2288673
ResponseEndTiming	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1506957	1506957	2.654356	1.000000	2.654356	1573269
FetchTiming	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	1554286	1554286	2.573529	1.000000	2.573529	1273464
SocialSourceNetworkID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	50958	50958	78.496016	1.000000	78.496016	1000056
SocialSourcePage	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	1024	48785	48785	0.020990	1.000000	0.020990	1024
ParamPrice	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	8000000	48472	48472	165.043737	1.000000	165.043737	1000000
ParamOrderID	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	0	44072	44072	0.000000	1.000000	0.000000	0
ParamCurrency	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	3000000	3048585	3048585	0.984063	1.000000	0.984063	3000000
ParamCurrencyID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:110	1000000	4000000	46712	46712	85.631101	1.000000	85.631101	1000000
OpenstatServiceName	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	58030	220467	220467	0.263214	1.000000	0.263214	58030
OpenstatCampaignID	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:110	1000000	22051	125577	125577	0.175597	1.000000	0.175597	22051
