column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	8000000	8003965	8003965	0.999505	1.000000	0.999505	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	203005	203005	19.703948	1.000000	19.703948	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:294	1000000	138409995	142891561	142891561	0.968637	1.000000	0.968637	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	48841	48841	81.898405	1.000000	81.898405	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:123	1000000	8000000	8009705	8009705	0.998788	1.000000	0.998788	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:123	1000000	4000000	4007741	4007741	0.998068	1.000000	0.998068	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	55247	55247	72.402121	1.000000	72.402121	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	3765698	3765698	1.062220	1.000000	1.062220	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1491242	1491242	2.682328	1.000000	2.682328	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	8000000	4420359	4420359	1.809808	1.000000	1.809808	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	47563	47563	84.098985	1.000000	84.098985	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	850692	850692	4.702054	1.000000	4.702054	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	692156	692156	5.779044	1.000000	5.779044	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:205	1000000	88562192	92658444	92658444	0.955792	1.000000	0.955792	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:231	1000000	79583339	83657287	83657287	0.951302	1.000000	0.951302	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	238304	238304	16.785283	1.000000	16.785283	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1869538	1869538	2.139566	1.000000	2.139566	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1373914	1373914	2.911390	1.000000	2.911390	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1095729	1095729	3.650538	1.000000	3.650538	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	733563	733563	5.452838	1.000000	5.452838	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1293398	1293398	3.092629	1.000000	3.092629	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1351585	1351585	2.959488	1.000000	2.959488	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	559145	559145	7.153779	1.000000	7.153779	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	405525	405525	9.863757	1.000000	9.863757	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	529352	529352	7.556409	1.000000	7.556409	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:123	1000000	3354477	7361715	7361715	0.455665	1.000000	0.455665	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	164345	164345	24.339043	1.000000	24.339043	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	201711	201711	19.830351	1.000000	19.830351	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	668609	668609	5.982570	1.000000	5.982570	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:123	1000000	3767530	7774745	7774745	0.484586	1.000000	0.484586	3777059
