column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	8000000	8004309	8004309	0.999462	1.000000	0.999462	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	202642	202642	19.739245	1.000000	19.739245	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:316	1000000	138409995	142891695	142891695	0.968636	1.000000	0.968636	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	48694	48694	82.145644	1.000000	82.145644	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	8000000	3388998	3388998	2.360580	1.000000	2.360580	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:121, DICTIONARY_PAGE/PLAIN:121	1000000	4000000	10336	10336	386.996904	1.000000	386.996904	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	54989	54989	72.741821	1.000000	72.741821	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	3764898	3764898	1.062446	1.000000	1.062446	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1490082	1490082	2.684416	1.000000	2.684416	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	8000000	4404921	4404921	1.816151	1.000000	1.816151	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	47449	47449	84.301039	1.000000	84.301039	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	852075	852075	4.694422	1.000000	4.694422	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	692563	692563	5.775648	1.000000	5.775648	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:247	1000000	88562192	92661356	92661356	0.955762	1.000000	0.955762	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:233	1000000	79583339	83653935	83653935	0.951340	1.000000	0.951340	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	238357	238357	16.781550	1.000000	16.781550	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1869334	1869334	2.139800	1.000000	2.139800	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1372685	1372685	2.913997	1.000000	2.913997	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1093683	1093683	3.657367	1.000000	3.657367	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	735574	735574	5.437930	1.000000	5.437930	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1290714	1290714	3.099060	1.000000	3.099060	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1349960	1349960	2.963051	1.000000	2.963051	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	558173	558173	7.166237	1.000000	7.166237	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	406626	406626	9.837049	1.000000	9.837049	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	530190	530190	7.544465	1.000000	7.544465	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:121	1000000	3354477	7361596	7361596	0.455673	1.000000	0.455673	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	164130	164130	24.370925	1.000000	24.370925	1000000
