column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	8000000	8003284	8003284	0.999590	1.000000	0.999590	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	202122	202122	19.790028	1.000000	19.790028	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:295	1000000	138409995	142888293	142888293	0.968659	1.000000	0.968659	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	48855	48855	81.874936	1.000000	81.874936	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:123	1000000	8000000	8009704	8009704	0.998788	1.000000	0.998788	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:123, DICTIONARY_PAGE/PLAIN:123	1000000	4000000	10506	10506	380.734818	1.000000	380.734818	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	55285	55285	72.352356	1.000000	72.352356	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	3759348	3759348	1.064014	1.000000	1.064014	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1491450	1491450	2.681954	1.000000	2.681954	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	8000000	4424391	4424391	1.808158	1.000000	1.808158	18637316
