column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	8000000	7992970	7992970	1.000880	1.000000	1.000880	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	198033	198033	20.198654	1.000000	20.198654	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	138409995	29217431	29217431	4.737240	1.000000	4.737240	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	44810	44810	89.265789	1.000000	89.265789	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	8000000	7376624	7376624	1.084507	1.000000	1.084507	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:71	1000000	4000000	4004538	4004538	0.998867	1.000000	0.998867	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	48455	48455	82.550820	1.000000	82.550820	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	3752578	3752578	1.065934	1.000000	1.065934	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	1485838	1485838	2.692084	1.000000	2.692084	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	8000000	4394748	4394748	1.820355	1.000000	1.820355	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	44083	44083	90.737926	1.000000	90.737926	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	848389	848389	4.714818	1.000000	4.714818	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	687081	687081	5.821730	1.000000	5.821730	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	88562192	44269405	44269405	2.000528	1.000000	2.000528	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	79583339	34500023	34500023	2.306762	1.000000	2.306762	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	234870	234870	17.030698	1.000000	17.030698	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	1863989	1863989	2.145935	1.000000	2.145935	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	1369778	1369778	2.920181	1.000000	2.920181	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	1082451	1082451	3.695317	1.000000	3.695317	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	725893	725893	5.510454	1.000000	5.510454	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	1287153	1287153	3.107634	1.000000	3.107634	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	1345016	1345016	2.973942	1.000000	2.973942	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	554954	554954	7.207805	1.000000	7.207805	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	400057	400057	9.998575	1.000000	9.998575	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	524840	524840	7.621370	1.000000	7.621370	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	3354477	269060	269060	12.467394	1.000000	12.467394	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	160915	160915	24.857844	1.000000	24.857844	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	198310	198310	20.170440	1.000000	20.170440	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	662471	662471	6.038000	1.000000	6.038000	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	3767530	152177	152177	24.757552	1.000000	24.757552	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	47716	47716	83.829323	1.000000	83.829323	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	48748	48748	82.054648	1.000000	82.054648	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	115724	115724	34.564999	1.000000	34.564999	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	145803	145803	27.434278	1.000000	27.434278	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	81583	26041	26041	3.132867	1.000000	3.132867	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	0	5035	5035	0.000000	1.000000	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	2660846	2660846	1.503281	1.000000	1.503281	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	497420	497420	8.041494	1.000000	8.041494	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	380313	380313	10.517653	1.000000	10.517653	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:71, DICTIONARY_PAGE/PLAIN:71	1000000	3528017	1643208	1643208	2.147030	1.000000	2.147030	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	203326	203326	19.672841	1.000000	19.672841	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:71	1000000	4000000	197706	197706	20.232062	1.000000	20.232062	1000000
