column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	8000000	8008290	8008290	0.998965	1.000000	0.998965	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006611	4006611	0.998350	1.000000	0.998350	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:217	1000000	138409995	64484681	64484681	2.146401	1.000000	2.146401	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006608	4006608	0.998351	1.000000	0.998351	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:105, DICTIONARY_PAGE/PLAIN:105	1000000	8000000	7385404	7385404	1.083218	1.000000	1.083218	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:105	1000000	4000000	61635	61635	64.898191	1.000000	64.898191	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006610	4006610	0.998350	1.000000	0.998350	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006607	4006607	0.998351	1.000000	0.998351	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006599	4006599	0.998353	1.000000	0.998353	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	8000000	8008289	8008289	0.998965	1.000000	0.998965	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006607	4006607	0.998351	1.000000	0.998351	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006604	4006604	0.998352	1.000000	0.998352	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006608	4006608	0.998351	1.000000	0.998351	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:174	1000000	88562192	40472299	40472299	2.188217	1.000000	2.188217	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:144	1000000	79583339	38995677	38995677	2.040825	1.000000	2.040825	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006609	4006609	0.998350	1.000000	0.998350	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:105	1000000	4000000	4006600	4006600	0.998353	1.000000	0.998353	4634835
