column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	8000000	8008131	8008131	0.998985	1.000000	0.998985	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006483	4006483	0.998382	1.000000	0.998382	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:232	1000000	138409995	64496309	64496309	2.146014	1.000000	2.146014	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006482	4006482	0.998382	1.000000	0.998382	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:103	1000000	8000000	3382023	3382023	2.365448	1.000000	2.365448	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006485	4006485	0.998381	1.000000	0.998381	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006480	4006480	0.998383	1.000000	0.998383	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006483	4006483	0.998382	1.000000	0.998382	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006487	4006487	0.998381	1.000000	0.998381	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	8000000	8008132	8008132	0.998985	1.000000	0.998985	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006477	4006477	0.998383	1.000000	0.998383	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006481	4006481	0.998382	1.000000	0.998382	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006480	4006480	0.998383	1.000000	0.998383	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:189	1000000	88562192	40472583	40472583	2.188202	1.000000	2.188202	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:173	1000000	79583339	39002454	39002454	2.040470	1.000000	2.040470	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006485	4006485	0.998381	1.000000	0.998381	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006481	4006481	0.998382	1.000000	0.998382	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006485	4006485	0.998381	1.000000	0.998381	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006479	4006479	0.998383	1.000000	0.998383	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006483	4006483	0.998382	1.000000	0.998382	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006481	4006481	0.998382	1.000000	0.998382	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006483	4006483	0.998382	1.000000	0.998382	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006480	4006480	0.998383	1.000000	0.998383	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006481	4006481	0.998382	1.000000	0.998382	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006478	4006478	0.998383	1.000000	0.998383	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:103	1000000	3354477	1047124	1047124	3.203515	1.000000	3.203515	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006483	4006483	0.998382	1.000000	0.998382	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006482	4006482	0.998382	1.000000	0.998382	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006480	4006480	0.998383	1.000000	0.998383	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:103	1000000	3767530	865187	865187	4.354585	1.000000	4.354585	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006482	4006482	0.998382	1.000000	0.998382	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006481	4006481	0.998382	1.000000	0.998382	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006480	4006480	0.998383	1.000000	0.998383	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006479	4006479	0.998383	1.000000	0.998383	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:103	1000000	81583	286136	286136	0.285120	1.000000	0.285120	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:103	1000000	0	83714	83714	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006485	4006485	0.998381	1.000000	0.998381	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006484	4006484	0.998382	1.000000	0.998382	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006483	4006483	0.998382	1.000000	0.998382	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:103	1000000	3528017	2968530	2968530	1.188473	1.000000	1.188473	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006484	4006484	0.998382	1.000000	0.998382	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006480	4006480	0.998383	1.000000	0.998383	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006482	4006482	0.998382	1.000000	0.998382	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006481	4006481	0.998382	1.000000	0.998382	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006485	4006485	0.998381	1.000000	0.998381	2989177
ClientEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:103	1000000	8000000	3504191	3504191	2.282981	1.000000	2.282981	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:103	1000000	4000000	4006487	4006487	0.998381	1.000000	0.998381	1000017
