column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	8000000	8008055	8008055	0.998994	1.000000	0.998994	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006414	4006414	0.998399	1.000000	0.998399	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:244	1000000	138409995	64500043	64500043	2.145890	1.000000	2.145890	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006416	4006416	0.998399	1.000000	0.998399	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:102	1000000	8000000	3380442	3380442	2.366554	1.000000	2.366554	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:102, DICTIONARY_PAGE/PLAIN:102	1000000	4000000	8716	8716	458.926113	1.000000	458.926113	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006422	4006422	0.998397	1.000000	0.998397	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006418	4006418	0.998398	1.000000	0.998398	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006418	4006418	0.998398	1.000000	0.998398	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	8000000	8008055	8008055	0.998994	1.000000	0.998994	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006420	4006420	0.998398	1.000000	0.998398	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006414	4006414	0.998399	1.000000	0.998399	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006418	4006418	0.998398	1.000000	0.998398	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:200	1000000	88562192	40478459	40478459	2.187884	1.000000	2.187884	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:182	1000000	79583339	39000321	39000321	2.040582	1.000000	2.040582	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006419	4006419	0.998398	1.000000	0.998398	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006423	4006423	0.998397	1.000000	0.998397	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006416	4006416	0.998399	1.000000	0.998399	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006419	4006419	0.998398	1.000000	0.998398	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006417	4006417	0.998398	1.000000	0.998398	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006414	4006414	0.998399	1.000000	0.998399	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006416	4006416	0.998399	1.000000	0.998399	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006413	4006413	0.998399	1.000000	0.998399	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006419	4006419	0.998398	1.000000	0.998398	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006416	4006416	0.998399	1.000000	0.998399	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:102	1000000	3354477	1046366	1046366	3.205835	1.000000	3.205835	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006419	4006419	0.998398	1.000000	0.998398	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006416	4006416	0.998399	1.000000	0.998399	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006419	4006419	0.998398	1.000000	0.998398	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:102	1000000	3767530	866246	866246	4.349261	1.000000	4.349261	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006418	4006418	0.998398	1.000000	0.998398	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006417	4006417	0.998398	1.000000	0.998398	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006420	4006420	0.998398	1.000000	0.998398	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:102	1000000	4000000	4006415	4006415	0.998399	1.000000	0.998399	1001922
