column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010815	8010815	0.998650	1.000000	0.998650	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008524	4008524	0.997874	1.000000	0.997874	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:212	1000000	138409995	140066662	140066662	0.988172	1.000000	0.988172	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008524	4008524	0.997874	1.000000	0.997874	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	8000000	3389763	3389763	2.360047	1.000000	2.360047	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	4000000	68857	68857	58.091407	1.000000	58.091407	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008515	4008515	0.997876	1.000000	0.997876	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008524	4008524	0.997874	1.000000	0.997874	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010817	8010817	0.998650	1.000000	0.998650	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008515	4008515	0.997876	1.000000	0.997876	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008523	4008523	0.997874	1.000000	0.997874	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:147	1000000	88562192	89791772	89791772	0.986306	1.000000	0.986306	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	79583339	80840686	80840686	0.984447	1.000000	0.984447	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008511	4008511	0.997877	1.000000	0.997877	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008523	4008523	0.997874	1.000000	0.997874	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008516	4008516	0.997876	1.000000	0.997876	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3354477	3713771	3713771	0.903254	1.000000	0.903254	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008523	4008523	0.997874	1.000000	0.997874	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008525	4008525	0.997873	1.000000	0.997873	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3767530	4024343	4024343	0.936185	1.000000	0.936185	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008521	4008521	0.997874	1.000000	0.997874	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	1001922
