column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010976	8010976	0.998630	1.000000	0.998630	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:214	1000000	138409995	140063326	140063326	0.988196	1.000000	0.988196	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008606	4008606	0.997853	1.000000	0.997853	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:139, DICTIONARY_PAGE/PLAIN:139	1000000	8000000	7380113	7380113	1.083994	1.000000	1.083994	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:139	1000000	4000000	67756	67756	59.035362	1.000000	59.035362	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008605	4008605	0.997853	1.000000	0.997853	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010974	8010974	0.998630	1.000000	0.998630	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008606	4008606	0.997853	1.000000	0.997853	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:145	1000000	88562192	89796796	89796796	0.986251	1.000000	0.986251	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:141	1000000	79583339	80840817	80840817	0.984445	1.000000	0.984445	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	3967065
