column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010972	8010972	0.998630	1.000000	0.998630	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:216	1000000	138409995	140072668	140072668	0.988130	1.000000	0.988130	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010968	8010968	0.998631	1.000000	0.998631	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008606	4008606	0.997853	1.000000	0.997853	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010971	8010971	0.998631	1.000000	0.998631	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008615	4008615	0.997851	1.000000	0.997851	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008615	4008615	0.997851	1.000000	0.997851	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:143	1000000	88562192	89795921	89795921	0.986261	1.000000	0.986261	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:143	1000000	79583339	80842423	80842423	0.984425	1.000000	0.984425	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008615	4008615	0.997851	1.000000	0.997851	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008610	4008610	0.997852	1.000000	0.997852	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008616	4008616	0.997851	1.000000	0.997851	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	3354477	3713460	3713460	0.903329	1.000000	0.903329	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	3767530	4023788	4023788	0.936314	1.000000	0.936314	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008610	4008610	0.997852	1.000000	0.997852	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1001922
MobilePhoneModel	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	81583	236318	236318	0.345226	1.000000	0.345226	81583
Params	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	0	45263	45263	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008614	4008614	0.997851	1.000000	0.997851	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008614	4008614	0.997851	1.000000	0.997851	1006573
SearchPhrase	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	3528017	4235762	4235762	0.832912	1.000000	0.832912	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008610	4008610	0.997852	1.000000	0.997852	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008606	4008606	0.997853	1.000000	0.997853	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008614	4008614	0.997851	1.000000	0.997851	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010978	8010978	0.998630	1.000000	0.998630	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008614	4008614	0.997851	1.000000	0.997851	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
PageCharset	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	13587860	13671356	13671356	0.993893	1.000000	0.993893	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008604	4008604	0.997854	1.000000	0.997854	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010972	8010972	0.998630	1.000000	0.998630	18077896
OriginalURL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:141	1000000	27797671	28822256	28822256	0.964452	1.000000	0.964452	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
HitColor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	1000000	1048641	1048641	0.953615	1.000000	0.953615	1000000
LocalEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010972	8010972	0.998630	1.000000	0.998630	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008609	4008609	0.997852	1.000000	0.997852	1000000
Interests	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008610	4008610	0.997852	1.000000	0.997852	2180312
Robotness	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1423051
RemoteIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	10016734
WindowName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	2197789
OpenerName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	2000000
HistoryLength	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	1940175
BrowserLanguage	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	2001192	2057978	2057978	0.972407	1.000000	0.972407	2001192
BrowserCountry	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	3325142	3645584	3645584	0.912101	1.000000	0.912101	3987713
SocialNetwork	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	0	45263	45263	0.000000	1.000000	0.000000	0
SocialAction	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	0	45263	45263	0.000000	1.000000	0.000000	0
HTTPError	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
SendTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008606	4008606	0.997853	1.000000	0.997853	1035866
DNSTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1026953
ConnectTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008605	4008605	0.997853	1.000000	0.997853	1145637
ResponseStartTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	2288673
ResponseEndTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008612	4008612	0.997852	1.000000	0.997852	1573269
FetchTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	1273464
SocialSourceNetworkID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000056
SocialSourcePage	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	1024	49986	49986	0.020486	1.000000	0.020486	1024
ParamPrice	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010975	8010975	0.998630	1.000000	0.998630	1000000
