column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010813	8010813	0.998650	1.000000	0.998650	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:212	1000000	138409995	140067609	140067609	0.988166	1.000000	0.988166	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	8000000	3391787	3391787	2.358639	1.000000	2.358639	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:137, DICTIONARY_PAGE/PLAIN:137	1000000	4000000	11701	11701	341.851124	1.000000	341.851124	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008517	4008517	0.997875	1.000000	0.997875	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010812	8010812	0.998650	1.000000	0.998650	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008523	4008523	0.997874	1.000000	0.997874	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:147	1000000	88562192	89793758	89793758	0.986285	1.000000	0.986285	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:139	1000000	79583339	80841755	80841755	0.984434	1.000000	0.984434	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008515	4008515	0.997876	1.000000	0.997876	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008515	4008515	0.997876	1.000000	0.997876	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008516	4008516	0.997876	1.000000	0.997876	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3354477	3713252	3713252	0.903380	1.000000	0.903380	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008517	4008517	0.997875	1.000000	0.997875	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3767530	4022454	4022454	0.936625	1.000000	0.936625	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008519	4008519	0.997875	1.000000	0.997875	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008523	4008523	0.997874	1.000000	0.997874	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1001922
MobilePhoneModel	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	81583	234787	234787	0.347477	1.000000	0.347477	81583
Params	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	0	45257	45257	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008524	4008524	0.997874	1.000000	0.997874	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008514	4008514	0.997876	1.000000	0.997876	1006573
SearchPhrase	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3528017	4234574	4234574	0.833146	1.000000	0.833146	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008521	4008521	0.997874	1.000000	0.997874	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008521	4008521	0.997874	1.000000	0.997874	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008513	4008513	0.997876	1.000000	0.997876	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008516	4008516	0.997876	1.000000	0.997876	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	2989177
ClientEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	8000000	3512179	3512179	2.277788	1.000000	2.277788	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008517	4008517	0.997875	1.000000	0.997875	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008524	4008524	0.997874	1.000000	0.997874	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008521	4008521	0.997874	1.000000	0.997874	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
PageCharset	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	13587860	13670071	13670071	0.993986	1.000000	0.993986	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008522	4008522	0.997874	1.000000	0.997874	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008518	4008518	0.997875	1.000000	0.997875	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008517	4008517	0.997875	1.000000	0.997875	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008515	4008515	0.997876	1.000000	0.997876	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010810	8010810	0.998651	1.000000	0.998651	18077896
OriginalURL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:142	1000000	27797671	28825310	28825310	0.964349	1.000000	0.964349	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008523	4008523	0.997874	1.000000	0.997874	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008520	4008520	0.997875	1.000000	0.997875	1000000
HitColor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	1000000	1048441	1048441	0.953797	1.000000	0.953797	1000000
LocalEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	8000000	3405652	3405652	2.349036	1.000000	2.349036	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008524	4008524	0.997874	1.000000	0.997874	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008517	4008517	0.997875	1.000000	0.997875	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008516	4008516	0.997876	1.000000	0.997876	1000000
