column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	8000000	8012083	8012083	0.998492	1.000000	0.998492	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009597	4009597	0.997606	1.000000	0.997606	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	138409995	142922680	142922680	0.968426	1.000000	0.968426	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:155	1000000	8000000	3400037	3400037	2.352916	1.000000	2.352916	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:155	1000000	4000000	75433	75433	53.027190	1.000000	53.027190	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009595	4009595	0.997607	1.000000	0.997607	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009597	4009597	0.997606	1.000000	0.997606	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	8000000	8012076	8012076	0.998493	1.000000	0.998493	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009598	4009598	0.997606	1.000000	0.997606	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009596	4009596	0.997607	1.000000	0.997607	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009599	4009599	0.997606	1.000000	0.997606	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	88562192	92673150	92673150	0.955640	1.000000	0.955640	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	79583339	83659685	83659685	0.951275	1.000000	0.951275	79585848
