column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012107	8012107	0.998489	1.000000	0.998489	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009596	4009596	0.997607	1.000000	0.997607	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:158	1000000	138409995	142930365	142930365	0.968374	1.000000	0.968374	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009593	4009593	0.997607	1.000000	0.997607	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012111	8012111	0.998488	1.000000	0.998488	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:157	1000000	4000000	71350	71350	56.061668	1.000000	56.061668	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009608	4009608	0.997604	1.000000	0.997604	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009592	4009592	0.997608	1.000000	0.997608	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009595	4009595	0.997607	1.000000	0.997607	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012110	8012110	0.998489	1.000000	0.998489	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009604	4009604	0.997605	1.000000	0.997605	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009597	4009597	0.997606	1.000000	0.997606	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009596	4009596	0.997607	1.000000	0.997607	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:158	1000000	88562192	92676883	92676883	0.955602	1.000000	0.955602	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:158	1000000	79583339	83666894	83666894	0.951193	1.000000	0.951193	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009605	4009605	0.997605	1.000000	0.997605	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009598	4009598	0.997606	1.000000	0.997606	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009599	4009599	0.997606	1.000000	0.997606	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009599	4009599	0.997606	1.000000	0.997606	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009596	4009596	0.997607	1.000000	0.997607	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009596	4009596	0.997607	1.000000	0.997607	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009600	4009600	0.997606	1.000000	0.997606	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009605	4009605	0.997605	1.000000	0.997605	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009604	4009604	0.997605	1.000000	0.997605	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009603	4009603	0.997605	1.000000	0.997605	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3354477	7363433	7363433	0.455559	1.000000	0.455559	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009604	4009604	0.997605	1.000000	0.997605	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009599	4009599	0.997606	1.000000	0.997606	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009601	4009601	0.997605	1.000000	0.997605	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3767530	7776662	7776662	0.484466	1.000000	0.484466	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009594	4009594	0.997607	1.000000	0.997607	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009592	4009592	0.997608	1.000000	0.997608	1000000
