column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012236	8012236	0.998473	1.000000	0.998473	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009720	4009720	0.997576	1.000000	0.997576	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	138409995	142926833	142926833	0.968398	1.000000	0.968398	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009719	4009719	0.997576	1.000000	0.997576	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:157, DICTIONARY_PAGE/PLAIN:157	1000000	8000000	7385402	7385402	1.083218	1.000000	1.083218	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:157	1000000	4000000	68845	68845	58.101532	1.000000	58.101532	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009722	4009722	0.997575	1.000000	0.997575	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009719	4009719	0.997576	1.000000	0.997576	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012237	8012237	0.998473	1.000000	0.998473	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009729	4009729	0.997574	1.000000	0.997574	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009719	4009719	0.997576	1.000000	0.997576	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	88562192	92678385	92678385	0.955586	1.000000	0.955586	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	79583339	83662352	83662352	0.951244	1.000000	0.951244	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009728	4009728	0.997574	1.000000	0.997574	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009728	4009728	0.997574	1.000000	0.997574	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009722	4009722	0.997575	1.000000	0.997575	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3354477	7363562	7363562	0.455551	1.000000	0.455551	3354477
