column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	8000000	8012084	8012084	0.998492	1.000000	0.998492	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009599	4009599	0.997606	1.000000	0.997606	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:156	1000000	138409995	142924594	142924594	0.968413	1.000000	0.968413	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009595	4009595	0.997607	1.000000	0.997607	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:155	1000000	8000000	3396558	3396558	2.355326	1.000000	2.355326	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009599	4009599	0.997606	1.000000	0.997606	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009600	4009600	0.997606	1.000000	0.997606	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	8000000	8012083	8012083	0.998492	1.000000	0.998492	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009601	4009601	0.997605	1.000000	0.997605	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009594	4009594	0.997607	1.000000	0.997607	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009595	4009595	0.997607	1.000000	0.997607	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	88562192	92673391	92673391	0.955638	1.000000	0.955638	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	79583339	83660122	83660122	0.951270	1.000000	0.951270	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009598	4009598	0.997606	1.000000	0.997606	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009600	4009600	0.997606	1.000000	0.997606	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009601	4009601	0.997605	1.000000	0.997605	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009600	4009600	0.997606	1.000000	0.997606	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009597	4009597	0.997606	1.000000	0.997606	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009604	4009604	0.997605	1.000000	0.997605	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009602	4009602	0.997605	1.000000	0.997605	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009600	4009600	0.997606	1.000000	0.997606	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	3354477	7363357	7363357	0.455564	1.000000	0.455564	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009601	4009601	0.997605	1.000000	0.997605	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:155	1000000	4000000	4009598	4009598	0.997606	1.000000	0.997606	1000000
