column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012235	8012235	0.998473	1.000000	0.998473	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009724	4009724	0.997575	1.000000	0.997575	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:158	1000000	138409995	142923510	142923510	0.968420	1.000000	0.968420	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:157, DICTIONARY_PAGE/PLAIN:157	1000000	8000000	7385239	7385239	1.083242	1.000000	1.083242	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009721	4009721	0.997576	1.000000	0.997576	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009718	4009718	0.997576	1.000000	0.997576	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009724	4009724	0.997575	1.000000	0.997575	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009726	4009726	0.997574	1.000000	0.997574	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012238	8012238	0.998473	1.000000	0.998473	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009722	4009722	0.997575	1.000000	0.997575	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009724	4009724	0.997575	1.000000	0.997575	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:159	1000000	88562192	92679378	92679378	0.955576	1.000000	0.955576	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:159	1000000	79583339	83664276	83664276	0.951222	1.000000	0.951222	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009724	4009724	0.997575	1.000000	0.997575	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009723	4009723	0.997575	1.000000	0.997575	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009726	4009726	0.997574	1.000000	0.997574	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009728	4009728	0.997574	1.000000	0.997574	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009723	4009723	0.997575	1.000000	0.997575	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009720	4009720	0.997576	1.000000	0.997576	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3354477	7363612	7363612	0.455548	1.000000	0.455548	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009722	4009722	0.997575	1.000000	0.997575	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009726	4009726	0.997574	1.000000	0.997574	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009724	4009724	0.997575	1.000000	0.997575	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3767530	7776733	7776733	0.484462	1.000000	0.484462	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009723	4009723	0.997575	1.000000	0.997575	1000000
