column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	8000000	8007184	8007184	0.999103	1.000000	0.999103	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	138409995	29390847	29390847	4.709289	1.000000	4.709289	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:91	1000000	8000000	3377181	3377181	2.368840	1.000000	2.368840	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:91	1000000	4000000	58703	58703	68.139618	1.000000	68.139618	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005724	4005724	0.998571	1.000000	0.998571	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	8000000	8007183	8007183	0.999103	1.000000	0.999103	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005732	4005732	0.998569	1.000000	0.998569	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	88562192	44324253	44324253	1.998053	1.000000	1.998053	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	79583339	34545091	34545091	2.303752	1.000000	2.303752	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005723	4005723	0.998571	1.000000	0.998571	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005724	4005724	0.998571	1.000000	0.998571	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005725	4005725	0.998571	1.000000	0.998571	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005732	4005732	0.998569	1.000000	0.998569	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	3354477	271799	271799	12.341756	1.000000	12.341756	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005731	4005731	0.998569	1.000000	0.998569	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	3767530	153671	153671	24.516857	1.000000	24.516857	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005727	4005727	0.998570	1.000000	0.998570	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	81583	27728	27728	2.942261	1.000000	2.942261	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	0	6323	6323	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005732	4005732	0.998569	1.000000	0.998569	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	3528017	1647350	1647350	2.141632	1.000000	2.141632	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005723	4005723	0.998571	1.000000	0.998571	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005727	4005727	0.998570	1.000000	0.998570	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005725	4005725	0.998571	1.000000	0.998571	2989177
ClientEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:91	1000000	8000000	3501484	3501484	2.284746	1.000000	2.284746	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005731	4005731	0.998569	1.000000	0.998569	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005724	4005724	0.998571	1.000000	0.998571	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1000000
PageCharset	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	13587860	12849	12849	1057.503308	1.000000	1057.503308	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005727	4005727	0.998570	1.000000	0.998570	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	8000000	8007181	8007181	0.999103	1.000000	0.999103	18077896
OriginalURL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	27797671	21305379	21305379	1.304725	1.000000	1.304725	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005721	4005721	0.998572	1.000000	0.998572	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
HitColor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	1000000	35993	35993	27.783180	1.000000	27.783180	1000000
LocalEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:91	1000000	8000000	3393256	3393256	2.357618	1.000000	2.357618	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	1000000
Interests	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	2180312
Robotness	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	1423051
RemoteIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	10016734
WindowName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005728	4005728	0.998570	1.000000	0.998570	2197789
OpenerName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005725	4005725	0.998571	1.000000	0.998571	2000000
HistoryLength	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005727	4005727	0.998570	1.000000	0.998570	1940175
BrowserLanguage	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	2001192	45162	45162	44.311412	1.000000	44.311412	2001192
BrowserCountry	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	3325142	139187	139187	23.889745	1.000000	23.889745	3987713
SocialNetwork	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	0	6323	6323	0.000000	1.000000	0.000000	0
