column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007341	8007341	0.999083	1.000000	0.999083	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	138409995	29438769	29438769	4.701623	1.000000	4.701623	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	8000000	7349008	7349008	1.088582	1.000000	1.088582	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:93	1000000	4000000	59241	59241	67.520805	1.000000	67.520805	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007343	8007343	0.999083	1.000000	0.999083	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	88562192	44349820	44349820	1.996901	1.000000	1.996901	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	79583339	34570904	34570904	2.302032	1.000000	2.302032	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005860	4005860	0.998537	1.000000	0.998537	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3354477	270673	270673	12.393098	1.000000	12.393098	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3767530	153170	153170	24.597049	1.000000	24.597049	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
