column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	8000000	8007262	8007262	0.999093	1.000000	0.999093	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005788	4005788	0.998555	1.000000	0.998555	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:92, DICTIONARY_PAGE/PLAIN:92	1000000	138409995	29378816	29378816	4.711218	1.000000	4.711218	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005794	4005794	0.998554	1.000000	0.998554	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:92	1000000	8000000	3377851	3377851	2.368370	1.000000	2.368370	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005783	4005783	0.998556	1.000000	0.998556	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005789	4005789	0.998555	1.000000	0.998555	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005789	4005789	0.998555	1.000000	0.998555	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005786	4005786	0.998556	1.000000	0.998556	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	8000000	8007263	8007263	0.999093	1.000000	0.999093	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005783	4005783	0.998556	1.000000	0.998556	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005785	4005785	0.998556	1.000000	0.998556	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005785	4005785	0.998556	1.000000	0.998556	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:92, DICTIONARY_PAGE/PLAIN:92	1000000	88562192	44323089	44323089	1.998105	1.000000	1.998105	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:92, DICTIONARY_PAGE/PLAIN:92	1000000	79583339	34535991	34535991	2.304360	1.000000	2.304360	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005787	4005787	0.998555	1.000000	0.998555	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005786	4005786	0.998556	1.000000	0.998556	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005789	4005789	0.998555	1.000000	0.998555	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005790	4005790	0.998555	1.000000	0.998555	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005788	4005788	0.998555	1.000000	0.998555	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005788	4005788	0.998555	1.000000	0.998555	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005788	4005788	0.998555	1.000000	0.998555	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005787	4005787	0.998555	1.000000	0.998555	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005787	4005787	0.998555	1.000000	0.998555	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005789	4005789	0.998555	1.000000	0.998555	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:92, DICTIONARY_PAGE/PLAIN:92	1000000	3354477	271102	271102	12.373487	1.000000	12.373487	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005788	4005788	0.998555	1.000000	0.998555	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005786	4005786	0.998556	1.000000	0.998556	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005789	4005789	0.998555	1.000000	0.998555	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:92, DICTIONARY_PAGE/PLAIN:92	1000000	3767530	152931	152931	24.635489	1.000000	24.635489	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005791	4005791	0.998554	1.000000	0.998554	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005791	4005791	0.998554	1.000000	0.998554	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:92	1000000	4000000	4005789	4005789	0.998555	1.000000	0.998555	1000000
