column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	8000000	8007186	8007186	0.999103	1.000000	0.999103	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	138409995	29393861	29393861	4.708806	1.000000	4.708806	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005730	4005730	0.998570	1.000000	0.998570	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:91	1000000	8000000	3381188	3381188	2.366032	1.000000	2.366032	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	4000000	7778	7778	514.271021	1.000000	514.271021	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005732	4005732	0.998569	1.000000	0.998569	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005729	4005729	0.998570	1.000000	0.998570	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005724	4005724	0.998571	1.000000	0.998571	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	8000000	8007182	8007182	0.999103	1.000000	0.999103	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005731	4005731	0.998569	1.000000	0.998569	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005731	4005731	0.998569	1.000000	0.998569	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005726	4005726	0.998571	1.000000	0.998571	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	88562192	44322688	44322688	1.998123	1.000000	1.998123	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:91, DICTIONARY_PAGE/PLAIN:91	1000000	79583339	34543881	34543881	2.303833	1.000000	2.303833	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	4000000	4005722	4005722	0.998572	1.000000	0.998572	1000000
