column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	8000000	9801699	9801699	0.816185	1.000000	0.816185	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	81658	81658	48.984790	1.000000	48.984790	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:468	1000000	138409995	64481204	64481204	2.146517	1.000000	2.146517	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	6605	6605	605.601817	1.000000	605.601817	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:76	1000000	8000000	8006075	8006075	0.999241	1.000000	0.999241	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:76	1000000	4000000	54438	54438	73.478085	1.000000	73.478085	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	6650	6650	601.503759	1.000000	601.503759	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	927084	927084	4.314604	1.000000	4.314604	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	435927	435927	9.175848	1.000000	9.175848	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	8000000	1215656	1215656	6.580809	1.000000	6.580809	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:76, DICTIONARY_PAGE/PLAIN:76	1000000	4000000	6605	6605	605.601817	1.000000	605.601817	1000000
