column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	8000000	9722080	9722080	0.822869	1.000000	0.822869	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	84270	84270	47.466477	1.000000	47.466477	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:376	1000000	138409995	140038716	140038716	0.988369	1.000000	0.988369	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	9059	9059	441.549840	1.000000	441.549840	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:106	1000000	8000000	3382111	3382111	2.365387	1.000000	2.365387	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	9059	9059	441.549840	1.000000	441.549840	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	9100	9100	439.560440	1.000000	439.560440	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	907907	907907	4.405738	1.000000	4.405738	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	438061	438061	9.131148	1.000000	9.131148	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	8000000	1196261	1196261	6.687504	1.000000	6.687504	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	9059	9059	441.549840	1.000000	441.549840	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	234334	234334	17.069653	1.000000	17.069653	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	229689	229689	17.414852	1.000000	17.414852	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:264	1000000	88562192	89786619	89786619	0.986363	1.000000	0.986363	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:242	1000000	79583339	80836509	80836509	0.984497	1.000000	0.984497	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	97047	97047	41.217142	1.000000	41.217142	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	487650	487650	8.202604	1.000000	8.202604	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	359294	359294	11.132944	1.000000	11.132944	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	159561	159561	25.068782	1.000000	25.068782	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	77425	77425	51.662900	1.000000	51.662900	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	350540	350540	11.410966	1.000000	11.410966	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	363030	363030	11.018373	1.000000	11.018373	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	115752	115752	34.556638	1.000000	34.556638	1994256
FlashMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:106, DICTIONARY_PAGE/PLAIN:106	1000000	4000000	92178	92178	43.394302	1.000000	43.394302	1923540
