column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	8000000	9714703	9714703	0.823494	1.000000	0.823494	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	85294	85294	46.896616	1.000000	46.896616	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:354	1000000	138409995	142894756	142894756	0.968615	1.000000	0.968615	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	9993	9993	400.280196	1.000000	400.280196	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:117	1000000	8000000	3384591	3384591	2.363653	1.000000	2.363653	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:117	1000000	4000000	4007364	4007364	0.998162	1.000000	0.998162	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	10036	10036	398.565165	1.000000	398.565165	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	905584	905584	4.417039	1.000000	4.417039	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	438083	438083	9.130690	1.000000	9.130690	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	8000000	1193755	1193755	6.701543	1.000000	6.701543	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	9993	9993	400.280196	1.000000	400.280196	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	235769	235769	16.965759	1.000000	16.965759	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	229124	229124	17.457796	1.000000	17.457796	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:258	1000000	88562192	92660553	92660553	0.955770	1.000000	0.955770	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:226	1000000	79583339	83650740	83650740	0.951376	1.000000	0.951376	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	98198	98198	40.734027	1.000000	40.734027	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	488173	488173	8.193817	1.000000	8.193817	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	361637	361637	11.060815	1.000000	11.060815	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	158565	158565	25.226248	1.000000	25.226248	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	77879	77879	51.361728	1.000000	51.361728	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	352939	352939	11.333403	1.000000	11.333403	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	363265	363265	11.011245	1.000000	11.011245	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	116434	116434	34.354226	1.000000	34.354226	1994256
FlashMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	92322	92322	43.326618	1.000000	43.326618	1923540
FlashMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	221357	221357	18.070357	1.000000	18.070357	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:117	1000000	3354477	7361371	7361371	0.455686	1.000000	0.455686	3354477
NetMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	42292	42292	94.580535	1.000000	94.580535	1000000
NetMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	37531	37531	106.578562	1.000000	106.578562	1000000
UserAgentMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	287123	287123	13.931312	1.000000	13.931312	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:117	1000000	3767530	7774448	7774448	0.484604	1.000000	0.484604	3777059
