column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	9715891	9715891	0.823393	1.000000	0.823393	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	85316	85316	46.884523	1.000000	46.884523	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:354	1000000	138409995	142898370	142898370	0.968590	1.000000	0.968590	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10086	10086	396.589332	1.000000	396.589332	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	7398585	7398585	1.081288	1.000000	1.081288	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10086	10086	396.589332	1.000000	396.589332	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10126	10126	395.022714	1.000000	395.022714	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	906497	906497	4.412590	1.000000	4.412590	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	438425	438425	9.123567	1.000000	9.123567	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	1193707	1193707	6.701812	1.000000	6.701812	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10086	10086	396.589332	1.000000	396.589332	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	235355	235355	16.995602	1.000000	16.995602	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	230392	230392	17.361714	1.000000	17.361714	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:248	1000000	88562192	92660687	92660687	0.955769	1.000000	0.955769	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:226	1000000	79583339	83650764	83650764	0.951376	1.000000	0.951376	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	98365	98365	40.664871	1.000000	40.664871	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	484525	484525	8.255508	1.000000	8.255508	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	360165	360165	11.106021	1.000000	11.106021	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	159833	159833	25.026121	1.000000	25.026121	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	78107	78107	51.211799	1.000000	51.211799	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	351897	351897	11.366962	1.000000	11.366962	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	364068	364068	10.986958	1.000000	10.986958	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	117090	117090	34.161756	1.000000	34.161756	1994256
FlashMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	92182	92182	43.392419	1.000000	43.392419	1923540
FlashMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	221680	221680	18.044027	1.000000	18.044027	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	3354477	7361427	7361427	0.455683	1.000000	0.455683	3354477
NetMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	42250	42250	94.674556	1.000000	94.674556	1000000
NetMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	37536	37536	106.564365	1.000000	106.564365	1000000
UserAgentMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	287263	287263	13.924522	1.000000	13.924522	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	3767530	7774499	7774499	0.484601	1.000000	0.484601	3777059
CookieEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	11342	11342	352.671487	1.000000	352.671487	1000000
JavascriptEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	11732	11732	340.947835	1.000000	340.947835	1000000
IsMobile	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	35506	35506	112.657016	1.000000	112.657016	1000000
MobilePhone	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	38924	38924	102.764361	1.000000	102.764361	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	81583	4088305	4088305	0.019955	1.000000	0.019955	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	0	4004596	4004596	0.000000	1.000000	0.000000	0
IPNetworkID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	751220	751220	5.324672	1.000000	5.324672	6865544
TraficSourceID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	295776	295776	13.523748	1.000000	13.523748	1728158
SearchEngineID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	170236	170236	23.496793	1.000000	23.496793	1006573
