column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	8000000	9830608	9830608	0.813785	1.000000	0.813785	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	80506	80506	49.685738	1.000000	49.685738	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	138409995	29012214	29012214	4.770749	1.000000	4.770749	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	5652	5652	707.714084	1.000000	707.714084	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:65	1000000	8000000	3370719	3370719	2.373381	1.000000	2.373381	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:65	1000000	4000000	53824	53824	74.316290	1.000000	74.316290	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	5698	5698	702.000702	1.000000	702.000702	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	931828	931828	4.292638	1.000000	4.292638	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	436473	436473	9.164370	1.000000	9.164370	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	8000000	1216273	1216273	6.577471	1.000000	6.577471	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	5652	5652	707.714084	1.000000	707.714084	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	230459	230459	17.356666	1.000000	17.356666	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	4000000	225357	225357	17.749615	1.000000	17.749615	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	88562192	44183280	44183280	2.004428	1.000000	2.004428	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:65, DICTIONARY_PAGE/PLAIN:65	1000000	79583339	34458713	34458713	2.309527	1.000000	2.309527	79585848
