column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	8000000	7990710	7991109	1.001163	0.999950	1.001113	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	197990	91354	20.203041	2.167283	43.785713	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:502	1000000	138409995	142874385	20906080	0.968753	6.834107	6.620562	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	43967	7174	90.977324	6.128659	557.568999	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7357246	5536536	1.087363	1.328854	1.444947	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	204448	0.999026	19.583948	19.564877	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	46815	7525	85.442700	6.221262	531.561462	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	3755067	1056665	1.065227	3.553697	3.785495	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	1486729	547519	2.690470	2.715393	7.305683	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	8000000	4396785	946260	1.819511	4.646487	8.454336	18637316
