column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	7989797	7990224	1.001277	0.999947	1.001223	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	198456	91042	20.155601	2.179829	43.935766	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:505	1000000	138409995	142875001	20906544	0.968749	6.833985	6.620415	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43898	7068	91.120324	6.210809	565.930956	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	8000000	7356897	5536280	1.087415	1.328852	1.445014	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	4000000	5303	5547	754.290025	0.956012	721.110510	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	46860	7424	85.360649	6.311961	538.793103	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	3747065	1054855	1.067502	3.552209	3.791990	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1485662	546449	2.692402	2.718757	7.319988	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	4406655	946433	1.815436	4.656067	8.452791	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43324	6347	92.327578	6.825902	630.219001	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	846802	265772	4.723654	3.186197	15.050494	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	686459	282528	5.827005	2.429703	14.157889	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:346	1000000	88562192	92649241	20469482	0.955887	4.526213	4.326548	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:301	1000000	79583339	83645479	19054779	0.951436	4.389738	4.176555	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	233829	138264	17.106518	1.691178	28.930163	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1862992	592866	2.147084	3.142349	6.746887	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1367301	394890	2.925471	3.462486	10.129403	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1082665	243776	3.694587	4.441229	16.408506	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	726792	127807	5.503638	5.686637	31.297190	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1285336	478291	3.112027	2.687351	8.363109	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1343821	423844	2.976587	3.170556	9.437435	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	553637	163760	7.224951	3.380783	24.425989	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	399294	114051	10.017681	3.501013	35.072029	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	523876	235183	7.635395	2.227525	17.008032	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	3354477	7358100	536702	0.455889	13.709843	6.250167	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	159786	51820	25.033482	3.083481	77.190274	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	197711	48024	20.231550	4.116921	83.291687	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	662956	302162	6.033583	2.194042	13.237932	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	3767530	7771151	467132	0.484810	16.635878	8.065236	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	46892	9198	85.302397	5.098065	434.877147	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	47888	9996	83.528233	4.790716	400.160064	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	114866	42592	34.823185	2.696891	93.914350	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	144663	48203	27.650470	3.001120	82.982387	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	81583	4085142	220017	0.019971	18.567393	0.370803	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	0	4002373	202747	0.000000	19.740726	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	2655194	928809	1.506481	2.858708	4.306590	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	496787	292580	8.051740	1.697953	13.671474	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	380301	169410	10.517984	2.244856	23.611357	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	3528017	7535494	1097689	0.468187	6.864872	3.214041	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	202576	53957	19.745676	3.754397	74.133106	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	196925	119408	20.312302	1.649178	33.498593	1000000
WindowClientWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1358690	647288	2.944012	2.099050	6.179629	3825106
WindowClientHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1252157	618210	3.194488	2.025456	6.470293	3055745
ClientTimeZone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	972921	252362	4.111331	3.855260	15.850247	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	8000000	7236699	5466002	1.105476	1.323947	1.463593	19000000
SilverlightVersion1	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	437865	152270	9.135236	2.875583	26.269127	1000017
SilverlightVersion2	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	207604	98867	19.267451	2.099831	40.458394	1000000
SilverlightVersion3	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1863241	393518	2.146797	4.734830	10.164719	2728282
SilverlightVersion4	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43815	6599	91.292936	6.639642	606.152447	1000000
PageCharset	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:91	1000000	13587860	17595504	926356	0.772235	18.994322	14.668076	13587860
CodeVersion	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	97043	15502	41.218841	6.260031	258.031222	3997297
IsLink	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	140876	60010	28.393765	2.347542	66.655557	1000000
IsDownload	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	53713	12469	74.469868	4.307723	320.795573	1000000
IsNotBounce	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	64155	23465	62.348999	2.734072	170.466652	1000000
FUniqID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	7474009	1782362	1.070376	4.193317	4.488426	18077896
OriginalURL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:148	1000000	27797671	31860050	7045913	0.872493	4.521777	3.945219	27797732
HID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	3953187	3761147	1.011842	1.051059	1.063505	8956330
IsOldCounter	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43324	6347	92.327578	6.825902	630.219001	1000000
IsEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43324	6347	92.327578	6.825902	630.219001	1000000
IsParameter	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43324	6347	92.327578	6.825902	630.219001	1000000
DontCountHits	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	168511	83281	23.737323	2.023403	48.030163	1000000
WithHash	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43324	6347	92.327578	6.825902	630.219001	1000000
