column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	7990088	7990514	1.001241	0.999947	1.001187	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	197951	91099	20.207021	2.172922	43.908276	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	138409995	28810422	9998176	4.804164	2.881568	13.843525	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43902	7102	91.112022	6.181639	563.221628	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	3368385	3032179	2.375025	1.110879	2.638367	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	51527	8133	77.629204	6.335547	491.823435	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	46799	7531	85.471912	6.214181	531.137963	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	3751081	1055648	1.066359	3.553344	3.789142	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1485940	546712	2.691899	2.717958	7.316466	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	4382294	945215	1.825528	4.636293	8.463683	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43336	6351	92.302012	6.823492	629.822075	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	845644	264739	4.730123	3.194255	15.109221	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	687451	283017	5.818597	2.429010	14.133427	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	88562192	44090971	16085485	2.008624	2.741041	5.505721	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	79583339	34400577	14794287	2.313430	2.325261	5.379329	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	234157	137831	17.082556	1.698870	29.021048	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1864061	591506	2.145853	3.151381	6.762400	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1368627	394652	2.922637	3.467934	10.135512	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1080725	243596	3.701219	4.436547	16.420631	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	724772	127476	5.518977	5.685556	31.378456	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1285273	478253	3.112179	2.687433	8.363774	3967065
