column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004718	8005131	0.999411	0.999948	0.999359	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	261957	0.999073	15.283856	15.269682	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:513	1000000	138409995	64480578	17110242	2.146538	3.768537	8.089307	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204229	0.999073	19.604038	19.585857	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004714	4282417	0.999411	1.869205	1.868104	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	51375	7913	77.858881	6.492481	505.497283	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003717	204259	0.999072	19.601178	19.582980	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003770	719078	0.999058	5.567922	5.562679	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003720	396370	0.999071	10.100966	10.091581	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004718	1084731	0.999411	7.379450	7.375100	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204062	0.999073	19.620081	19.601886	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003710	317973	0.999073	12.591352	12.579684	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	342049	0.999072	11.705089	11.694231	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:340	1000000	88562192	40460999	18084728	2.188829	2.237302	4.897071	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:309	1000000	79583339	38989764	17325529	2.041134	2.250423	4.593415	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003744	491836	0.999065	8.140405	8.132792	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003743	508954	0.999065	7.866611	7.859256	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003736	457949	0.999067	8.742755	8.734597	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	271864	0.999073	14.726893	14.713239	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003711	232134	0.999073	17.247413	17.231427	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	373371	0.999073	10.723147	10.713205	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003717	373104	0.999072	10.730834	10.720871	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	282833	0.999072	14.155753	14.142621	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	245222	0.999072	16.326900	16.311750	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	328328	0.999073	12.194248	12.182939	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:59	1000000	3354477	1041082	394774	3.222106	2.637159	8.497209	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	219079	0.999072	18.275207	18.258254	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	217243	0.999073	18.429653	18.412561	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003717	364844	0.999072	10.973778	10.963590	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:59	1000000	3767530	860316	236318	4.379240	3.640501	15.942628	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204957	0.999073	19.534405	19.516289	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	204943	0.999073	19.535734	19.517622	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	218352	0.999072	18.336058	18.319044	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	215287	0.999073	18.597091	18.579849	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:59	1000000	81583	281681	56765	0.289629	4.962230	1.437206	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:59	1000000	0	81427	6905	0.000000	11.792469	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003755	560148	0.999062	7.147673	7.140970	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003754	526613	0.999062	7.602839	7.595711	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	293060	0.999073	13.661752	13.649082	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:59	1000000	3528017	2961687	994375	1.191219	2.978441	3.547974	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	220197	0.999072	18.182418	18.165552	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003747	505684	0.999064	7.917488	7.910078	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003752	516182	0.999063	7.756473	7.749205	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003758	551349	0.999061	7.261749	7.254933	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	285549	0.999073	14.021107	14.008104	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004718	4229255	0.999411	1.892702	1.891586	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	287153	0.999072	13.942790	13.929856	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	269661	0.999073	14.847208	14.833439	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003716	304662	0.999072	13.141501	13.129304	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	204100	0.999072	19.616433	19.598236	1000000
PageCharset	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:89	1000000	13587860	142663	26939	95.244457	5.295779	504.393630	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	205305	0.999072	19.501303	19.483208	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	256373	0.999072	15.616758	15.602267	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	206526	0.999073	19.386000	19.368021	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003720	235269	0.999071	17.017627	17.001815	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004714	1151408	0.999411	6.952109	6.948015	18077896
OriginalURL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:148	1000000	27797671	21056193	6754150	1.320166	3.117519	4.115643	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003774	3689970	0.999057	1.085042	1.084020	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204062	0.999073	19.620081	19.601886	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204062	0.999073	19.620081	19.601886	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204062	0.999073	19.620081	19.601886	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003719	295526	0.999071	13.547772	13.535188	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204062	0.999073	19.620081	19.601886	1000000
HitColor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:59	1000000	1000000	207173	74334	4.826884	2.787056	13.452794	1000000
