column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004795	8005215	0.999401	0.999948	0.999349	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	262027	0.999057	15.280005	15.265602	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:516	1000000	138409995	64468635	17107406	2.146935	3.768463	8.090648	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003771	204309	0.999058	19.596645	19.578188	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7351075	5532936	1.088276	1.328603	1.445887	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:60	1000000	4000000	51289	7960	77.989432	6.443342	502.512563	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	204338	0.999057	19.593889	19.575409	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003839	719362	0.999041	5.565819	5.560483	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003779	396592	0.999056	10.095461	10.085932	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004795	1084823	0.999401	7.378895	7.374475	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	204140	0.999057	19.612883	19.594396	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	318058	0.999057	12.588198	12.576323	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	342176	0.999057	11.700929	11.689891	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:340	1000000	88562192	40461090	18058887	2.188824	2.240509	4.904078	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:308	1000000	79583339	38990012	17328537	2.041121	2.250046	4.592617	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003806	491892	0.999049	8.139604	8.131866	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003806	509012	0.999049	7.865838	7.858361	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003796	458112	0.999052	8.739775	8.731489	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	271922	0.999057	14.723991	14.710101	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	232245	0.999057	17.239441	17.223191	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003782	373370	0.999055	10.723363	10.713234	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003780	373181	0.999056	10.728788	10.718659	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	282978	0.999057	14.148711	14.135374	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	245276	0.999057	16.323554	16.308159	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	328340	0.999057	12.193997	12.182494	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	3354477	1043184	396082	3.215614	2.633758	8.469148	3354477
