column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004717	8005130	0.999411	0.999948	0.999359	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003711	261946	0.999073	15.284490	15.270323	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:513	1000000	138409995	64477801	17105312	2.146630	3.769461	8.091638	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	204227	0.999073	19.604225	19.586049	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	8000000	3370560	3038726	2.373493	1.109202	2.632682	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003711	204226	0.999073	19.604316	19.586145	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204252	0.999073	19.601830	19.583652	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003772	719059	0.999058	5.568072	5.562826	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003716	396421	0.999072	10.099657	10.090283	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004717	1084730	0.999411	7.379456	7.375107	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	204060	0.999073	19.620269	19.602078	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	318013	0.999072	12.589781	12.578102	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	342090	0.999072	11.703686	11.692829	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:339	1000000	88562192	40456964	18047077	2.189047	2.241746	4.907287	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:313	1000000	79583339	38988769	17315959	2.041186	2.251609	4.595953	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003740	491863	0.999066	8.139950	8.132346	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003746	508852	0.999064	7.868194	7.860832	4634835
