column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004715	8005128	0.999411	0.999948	0.999359	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	261945	0.999072	15.284560	15.270381	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:516	1000000	138409995	64473651	17115374	2.146768	3.767002	8.086881	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	204244	0.999073	19.602598	19.584419	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	8000000	3370822	3039627	2.373308	1.108959	2.631902	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:59, DICTIONARY_PAGE/PLAIN:59	1000000	4000000	5130	5366	779.727096	0.956019	745.434215	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003711	204263	0.999073	19.600765	19.582597	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003773	719096	0.999058	5.567786	5.562540	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	396311	0.999072	10.102455	10.093083	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004715	1084714	0.999411	7.379563	7.375216	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	204076	0.999073	19.618730	19.600541	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003711	317984	0.999073	12.590920	12.579249	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	342015	0.999072	11.706256	11.695393	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:339	1000000	88562192	40459832	18056209	2.188892	2.240771	4.904805	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:310	1000000	79583339	38992739	17321026	2.040978	2.251180	4.594609	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003743	491819	0.999065	8.140684	8.133073	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003746	508787	0.999064	7.869199	7.861836	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003737	457896	0.999067	8.743769	8.735608	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003714	271850	0.999072	14.727659	14.713997	4525496
