column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004874	8005300	0.999391	0.999947	0.999338	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003836	262062	0.999042	15.278201	15.263564	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:510	1000000	138409995	140027101	21321353	0.988451	6.567459	6.491614	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	204379	0.999041	19.590261	19.571482	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	3368836	3037787	2.374707	1.108977	2.633496	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	51914	8125	77.050507	6.389415	492.307692	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	204399	0.999041	19.588349	19.569567	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003895	719328	0.999027	5.566160	5.560746	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	396735	0.999041	10.091973	10.082297	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004876	1084894	0.999391	7.378487	7.373992	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003835	204207	0.999042	19.606747	19.587967	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003834	318136	0.999042	12.585291	12.573239	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	342206	0.999041	11.700087	11.688866	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:341	1000000	88562192	89784417	20785414	0.986387	4.319588	4.260786	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:305	1000000	79583339	80835044	19457003	0.984515	4.154548	4.090216	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003867	492011	0.999034	8.137759	8.129900	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003866	509045	0.999034	7.865446	7.857851	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003857	458065	0.999037	8.740805	8.732385	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003835	272009	0.999042	14.719495	14.705396	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	232258	0.999042	17.238747	17.222227	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	373508	0.999041	10.719556	10.709275	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	373204	0.999041	10.728288	10.717999	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	283118	0.999042	14.141937	14.128385	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003834	245403	0.999042	16.315343	16.299719	1923540
