column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004876	8005302	0.999391	0.999947	0.999338	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	262074	0.999042	15.277506	15.262865	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:504	1000000	138409995	142876656	20900502	0.968738	6.836039	6.622329	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003830	204381	0.999043	19.590030	19.571291	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	3370385	3038574	2.373616	1.109200	2.632814	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	4000000	5297	5541	755.144421	0.955965	721.891355	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	204406	0.999042	19.587669	19.568897	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003898	719405	0.999026	5.565569	5.560150	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003843	396657	0.999040	10.093968	10.084279	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004876	1084909	0.999391	7.378385	7.373890	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	204213	0.999041	19.606191	19.587392	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	318161	0.999041	12.584317	12.572251	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	342357	0.999042	11.694918	11.683710	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:343	1000000	88562192	92650300	20477978	0.955876	4.524387	4.324753	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:299	1000000	79583339	83645308	19054507	0.951438	4.389791	4.176615	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003870	492010	0.999033	8.137782	8.129916	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003869	508974	0.999034	7.866549	7.858948	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003853	458128	0.999038	8.739595	8.731184	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	272000	0.999041	14.720000	14.705882	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	232232	0.999041	17.240682	17.224155	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	373592	0.999041	10.717143	10.706867	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	373372	0.999041	10.723461	10.713176	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003836	283029	0.999042	14.146381	14.132827	1994256
