column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004875	8005301	0.999391	0.999947	0.999338	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	262070	0.999041	15.277743	15.263098	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	138409995	28821487	10001864	4.802320	2.881612	13.838420	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	204374	0.999042	19.590736	19.571961	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	3369665	3034244	2.374123	1.110545	2.636571	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	51688	8096	77.387401	6.384387	494.071146	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	204393	0.999042	19.588914	19.570142	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003896	719432	0.999027	5.565357	5.559942	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	396857	0.999041	10.088873	10.079197	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004875	1084943	0.999391	7.378153	7.373659	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003839	204199	0.999041	19.607535	19.588735	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003837	318189	0.999042	12.583204	12.571145	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003836	342256	0.999042	11.698366	11.687158	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	88562192	44096189	16090293	2.008387	2.740546	5.504076	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	79583339	34404316	14799906	2.313179	2.324631	5.377287	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003866	492015	0.999034	8.137691	8.129833	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003868	509246	0.999034	7.862346	7.854750	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003854	458156	0.999037	8.739063	8.730651	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003838	272038	0.999041	14.717936	14.703828	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	4000000	4003840	232304	0.999041	17.235347	17.218817	2981244
