column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004954	8005387	0.999381	0.999946	0.999327	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	262157	0.999026	15.272909	15.258032	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	138409995	28851136	10016946	4.797385	2.880233	13.817584	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204445	0.999026	19.584245	19.565164	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7344624	5516489	1.089232	1.331395	1.450198	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	52205	8208	76.621013	6.360258	487.329435	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204468	0.999025	19.582047	19.562963	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003954	719523	0.999012	5.564734	5.559239	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	396952	0.999025	10.086615	10.076785	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004953	1085045	0.999381	7.377531	7.372966	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204274	0.999025	19.600644	19.581542	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	318179	0.999026	12.583794	12.571540	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	342419	0.999026	11.692984	11.681595	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	88562192	44096019	16097166	2.008394	2.739365	5.501726	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	79583339	34412661	14810327	2.312618	2.323558	5.373503	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003931	492045	0.999018	8.137327	8.129338	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003934	509147	0.999017	7.864004	7.856277	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003918	458325	0.999021	8.735980	8.727431	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	272034	0.999025	14.718388	14.704044	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	232311	0.999026	17.235090	17.218298	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	373608	0.999026	10.716850	10.706409	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	373390	0.999026	10.723107	10.712660	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	283104	0.999025	14.142866	14.129083	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	245461	0.999025	16.311764	16.295868	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	328546	0.999026	12.186729	12.174855	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3354477	267022	182935	12.562549	1.459655	18.336989	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	219271	0.999026	18.260048	18.242266	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	217432	0.999026	18.414493	18.396556	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	365434	0.999026	10.956561	10.945889	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3767530	150853	104713	24.974843	1.440633	35.979582	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204937	0.999026	19.537229	19.518193	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	205090	0.999026	19.522653	19.503633	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	218602	0.999026	18.315935	18.298094	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	215515	0.999026	18.578289	18.560193	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	81583	25300	23276	3.224625	1.086957	3.505027	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	0	4398	4646	0.000000	0.946621	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003937	561201	0.999017	7.134586	7.127571	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003935	526981	0.999017	7.597874	7.590406	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	293263	0.999026	13.652926	13.639634	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3528017	1643730	786554	2.146348	2.089787	4.485410	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003897	220416	0.999027	18.165183	18.147503	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003935	505909	0.999017	7.914338	7.906560	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003930	517066	0.999018	7.743557	7.735956	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003942	552213	0.999015	7.250720	7.243582	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	285812	0.999025	14.008869	13.995214	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7220626	5442975	1.107937	1.326595	1.469784	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	287389	0.999027	13.931974	13.918417	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	269866	0.999025	14.836630	14.822171	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	305068	0.999027	13.124602	13.111831	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204311	0.999025	19.597095	19.577996	1000000
PageCharset	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	13587860	9161	9345	1483.228905	0.980310	1454.024612	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	205293	0.999026	19.503349	19.484347	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	256589	0.999026	15.604332	15.589133	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	206758	0.999026	19.365152	19.346289	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003904	235484	0.999025	17.002871	16.986292	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004952	1151766	0.999381	6.950155	6.945855	18077896
