column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	7989937	7990352	1.001259	0.999948	1.001207	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	198329	68127	20.168508	2.911166	58.713873	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:518	1000000	138409995	142873485	13942339	0.968759	10.247455	9.927315	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43646	5620	91.646428	7.766192	711.743772	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	3370769	2886766	2.373346	1.167663	2.771267	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	51665	6319	77.421852	8.176135	633.011552	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	46689	5870	85.673285	7.953833	681.431005	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	3754812	861609	1.065300	4.357907	4.642477	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1489061	463496	2.686257	3.212673	8.630064	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	4397258	761366	1.819316	5.775485	10.507430	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43044	4932	92.928167	8.727494	811.030008	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	847719	216432	4.718545	3.916791	18.481555	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	688604	235606	5.808854	2.922693	16.977496	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:345	1000000	88562192	92652327	15298697	0.955855	6.056223	5.788872	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:330	1000000	79583339	83647408	14214451	0.951414	5.884674	5.598763	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	233575	98901	17.125120	2.361705	40.444485	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1866218	521895	2.143372	3.575850	7.664377	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1369053	337120	2.921728	4.061026	11.865211	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1085748	202626	3.684096	5.358384	19.740803	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	727434	100072	5.498781	7.269106	39.971221	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1286053	409845	3.110292	3.137901	9.759787	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1345789	358882	2.972234	3.749948	11.145725	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	554327	136136	7.215957	4.071862	29.382382	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	400256	92904	9.993604	4.308275	43.055197	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	524251	199366	7.629933	2.629591	20.063602	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3354477	7357830	246539	0.455906	29.844487	13.606273	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	159866	42272	25.020955	3.781841	94.625284	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	197085	36627	20.295811	5.380867	109.209053	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	661919	259363	6.043035	2.552095	15.422400	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3767530	7770878	136655	0.484827	56.864937	27.569646	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	46548	7474	85.932801	6.227990	535.188654	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	47575	8170	84.077772	5.823133	489.596083	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	114560	32834	34.916201	3.489066	121.824938	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	144498	39598	27.682044	3.649124	101.015203	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	81583	4084903	22639	0.019972	180.436548	3.603649	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	0	4002159	2848	0.000000	1405.252458	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	2662414	782354	1.502396	3.403081	5.112775	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	496912	238503	8.049715	2.083462	16.771278	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	378133	150433	10.578289	2.513631	26.589910	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3528017	7534870	720771	0.468225	10.453903	4.894782	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	202668	45100	19.736712	4.493747	88.691796	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	196693	84550	20.336260	2.326351	47.309284	1000000
WindowClientWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1359360	574512	2.942561	2.366112	6.962431	3825106
WindowClientHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1252519	552107	3.193564	2.268616	7.244972	3055745
ClientTimeZone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	977098	211912	4.093755	4.610867	18.875760	2989177
ClientEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	3490948	2899181	2.291641	1.204115	2.759400	19000000
SilverlightVersion1	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	437623	118924	9.140287	3.679854	33.634927	1000017
SilverlightVersion2	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	207780	73348	19.251131	2.832797	54.534548	1000000
SilverlightVersion3	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1861362	315969	2.148964	5.890964	12.659470	2728282
SilverlightVersion4	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43528	5165	91.894872	8.427493	774.443369	1000000
PageCharset	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:85	1000000	13587860	17594819	14641	0.772265	1201.749812	928.069121	13587860
CodeVersion	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	96441	12708	41.476136	7.588999	314.762354	3997297
IsLink	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	140819	44424	28.405258	3.169886	90.041419	1000000
IsDownload	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	53482	10030	74.791519	5.332203	398.803589	1000000
IsNotBounce	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	63896	16430	62.601728	3.888984	243.457091	1000000
