column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	7988376	7988600	1.001455	0.999972	1.001427	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	198177	67945	20.183977	2.916727	58.871146	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:522	1000000	138409995	142873291	13947088	0.968760	10.243951	9.923935	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43592	5615	91.759956	7.763491	712.377560	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004556	2516691	0.999431	3.180588	3.178777	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	50680	6336	78.926598	7.998737	631.313131	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	46276	5913	86.437894	7.826146	676.475562	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	3747205	860619	1.067462	4.354081	4.647817	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1485534	463905	2.692634	3.202238	8.622455	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	4386803	760998	1.823652	5.764539	10.512511	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43059	4932	92.895794	8.730535	811.030008	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	844517	216199	4.736435	3.906202	18.501473	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	686754	236260	5.824502	2.906772	16.930500	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:348	1000000	88562192	92648694	15299307	0.955893	6.055744	5.788641	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:328	1000000	79583339	83646058	14217136	0.951430	5.883468	5.597705	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	233763	98681	17.111348	2.368875	40.534652	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1863974	520779	2.145953	3.579203	7.680801	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1368810	335977	2.922246	4.074118	11.905577	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1084022	202922	3.689962	5.342062	19.712008	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	725962	99654	5.509930	7.284825	40.138881	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1281954	409960	3.120237	3.127022	9.757049	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1339957	359004	2.985170	3.732429	11.141937	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	553732	136322	7.223711	4.061942	29.342293	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	399413	92739	10.014697	4.306850	43.131800	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	523347	199439	7.643113	2.624096	20.056258	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3354477	7357828	246848	0.455906	29.807120	13.589241	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	159936	42209	25.010004	3.789144	94.766519	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	197682	36638	20.234518	5.395546	109.176265	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	661505	259270	6.046817	2.551414	15.427932	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3767530	7770877	136886	0.484827	56.768968	27.523121	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	46499	7502	86.023355	6.198214	533.191149	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	47535	8216	84.148522	5.785662	486.854917	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	114583	32936	34.909192	3.478959	121.447656	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	144083	39519	27.761776	3.645917	101.217136	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	81583	4084902	22652	0.019972	180.332951	3.601580	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	0	4002161	2854	0.000000	1402.298879	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	2653337	783477	1.507536	3.386618	5.105447	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	497063	238143	8.047270	2.087246	16.796631	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	379857	150786	10.530278	2.519179	26.527662	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3528017	7534860	720327	0.468226	10.460333	4.897799	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	203177	44964	19.687268	4.518659	88.960057	1004631
IsArtifical	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	196656	84365	20.340086	2.331014	47.413027	1000000
WindowClientWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1357348	574343	2.946923	2.363306	6.964479	3825106
