column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	7989713	7990494	1.001288	0.999902	1.001190	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	197832	68004	20.219176	2.909123	58.820069	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:512	1000000	138409995	142873220	13947224	0.968761	10.243846	9.923838	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	43674	5710	91.587672	7.648687	700.525394	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	7352553	4030794	1.088057	1.824095	1.984721	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003591	4983	0.999103	803.449930	802.729280	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	46469	5964	86.078891	7.791583	670.690812	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	3746807	859655	1.067576	4.358501	4.653029	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1484498	464431	2.694514	3.196380	8.612690	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	4392093	760398	1.821455	5.776045	10.520806	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	43122	5009	92.760076	8.608904	798.562587	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	843273	216053	4.743422	3.903084	18.513976	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	687026	236030	5.822196	2.910757	16.946998	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:336	1000000	88562192	92648956	15301341	0.955890	6.054957	5.787871	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:324	1000000	79583339	83647149	14213189	0.951417	5.885178	5.599260	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	233983	98883	17.095259	2.366261	40.451847	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1863337	521907	2.146686	3.570247	7.664201	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1366550	336961	2.927079	4.055514	11.870810	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1081336	203193	3.699128	5.321719	19.685718	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	721822	99972	5.541532	7.220242	40.011203	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1282044	410279	3.120018	3.124810	9.749463	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1340966	358949	2.982924	3.735812	11.143644	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	552639	136576	7.237998	4.046384	29.287723	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	398930	93314	10.026822	4.275136	42.866022	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	523654	199515	7.638632	2.624635	20.048618	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	3354477	7357884	247645	0.455902	29.711418	13.545507	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	159800	42536	25.031289	3.756818	94.037991	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	197395	36821	20.263938	5.360935	108.633660	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	661568	259802	6.046242	2.546432	15.396340	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	3767530	7770933	137239	0.484823	56.623358	27.452328	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	46567	7545	85.897739	6.171902	530.152419	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	47605	8211	84.024787	5.797710	487.151382	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	114774	33174	34.851099	3.459758	120.576355	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	144999	39874	27.586397	3.636430	100.315995	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	81583	4084957	22716	0.019972	179.827302	3.591433	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	0	4002197	2893	0.000000	1383.407190	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	2651766	782126	1.508429	3.390459	5.114265	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	496161	238053	8.061899	2.084246	16.802981	1728158
