column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	8000000	8004636	8005441	0.999421	0.999899	0.999320	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	64838	0.999088	61.748512	61.692218	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:520	1000000	138409995	140027499	14467865	0.988449	9.678518	9.566719	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003589	4990	0.999104	802.322445	801.603206	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	7355778	4037833	1.087580	1.821714	1.981261	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003587	4988	0.999104	802.643745	801.924619	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003589	5007	0.999104	799.598362	798.881566	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003658	408408	0.999086	9.803084	9.794127	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	191008	0.999089	20.960635	20.941531	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	8000000	8004631	618179	0.999421	12.948727	12.941235	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003588	4294	0.999104	932.367955	931.532371	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	107024	0.999088	37.408899	37.374794	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003642	135376	0.999090	29.574238	29.547335	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:346	1000000	88562192	89785334	16034827	0.986377	5.599395	5.523115	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:326	1000000	79583339	80834241	15009858	0.984525	5.385410	5.302071	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	178816	0.999089	22.389769	22.369363	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	275460	0.999088	14.534415	14.521165	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	231405	0.999089	17.301480	17.285711	2814059
