column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004555	8005360	0.999431	0.999899	0.999330	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	64046	0.999104	62.511101	62.455110	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:526	1000000	138409995	142871744	13947549	0.968771	10.243502	9.923607	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003530	4921	0.999118	813.560252	812.842918	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	3368626	2886499	2.374856	1.167028	2.771524	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	50747	6336	78.822393	8.009312	631.313131	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003526	4934	0.999119	811.415890	810.701257	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003597	408132	0.999102	9.809564	9.800751	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	190966	0.999104	20.964926	20.946137	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004553	618142	0.999431	12.949376	12.942010	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003528	4235	0.999119	945.343093	944.510035	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	106218	0.999104	37.692171	37.658401	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	134037	0.999105	29.869245	29.842506	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:352	1000000	88562192	92652139	15302500	0.955857	6.054706	5.787433	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:326	1000000	79583339	83646858	14215690	0.951421	5.884122	5.598275	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	178733	0.999105	22.399803	22.379751	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003581	275155	0.999106	14.550275	14.537261	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	231260	0.999105	17.312051	17.296549	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	87558	0.999104	45.724971	45.684004	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	48095	0.999104	83.243310	83.168729	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003581	187130	0.999106	21.394651	21.375514	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	186039	0.999105	21.520133	21.500868	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	82431	0.999105	48.568900	48.525433	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	53323	0.999105	75.081728	75.014534	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	128013	0.999104	31.274847	31.246826	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3354477	7357825	246378	0.455906	29.863969	13.615165	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	26171	0.999105	152.977914	152.840931	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	24688	0.999105	162.167247	162.022035	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	154767	0.999105	25.868447	25.845303	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3767530	7770884	137025	0.484826	56.711432	27.495202	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003534	6099	0.999117	656.424660	655.845221	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003541	6545	0.999116	611.694576	611.153552	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	28835	0.999104	138.844703	138.720305	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	22468	0.999105	178.190538	178.030977	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	81583	4084877	22583	0.019972	180.882832	3.612585	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	0	4002160	2867	0.000000	1395.940007	0.000000	0
