column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004714	8005548	0.999411	0.999896	0.999307	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	64910	0.999072	61.681020	61.623787	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:59, DICTIONARY_PAGE/PLAIN:59	1000000	138409995	28809750	7969796	4.804276	3.614867	17.366818	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003653	5094	0.999088	785.954653	785.237534	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	8000000	3369293	2885504	2.374385	1.167662	2.772479	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	51777	6549	77.254379	7.906093	610.780272	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003656	5114	0.999087	782.881502	782.166601	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003723	408427	0.999070	9.802787	9.793672	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003713	191111	0.999073	20.949673	20.930245	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004717	618464	0.999411	12.942899	12.935272	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003654	4387	0.999087	912.617734	911.784819	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003712	107828	0.999073	37.130541	37.096116	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003710	135093	0.999073	29.636695	29.609232	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:59, DICTIONARY_PAGE/PLAIN:59	1000000	88562192	44074234	12702847	2.009387	3.469634	6.971838	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:59, DICTIONARY_PAGE/PLAIN:59	1000000	79583339	34392102	11729940	2.314000	2.931993	6.784633	79585848
