column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004793	8005640	0.999401	0.999894	0.999295	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	64661	0.999056	61.919519	61.861091	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	138409995	28831177	7976614	4.800706	3.614463	17.351974	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003711	5177	0.999073	773.365076	772.648252	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7359466	4021679	1.087035	1.829949	1.989219	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:60	1000000	4000000	52074	6672	76.813765	7.804856	599.520384	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003713	5197	0.999073	770.389263	769.674812	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003780	408517	0.999056	9.800767	9.791514	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003771	190935	0.999058	20.969288	20.949538	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004791	618484	0.999401	12.942600	12.934854	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003712	4458	0.999073	898.096007	897.263347	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003773	107734	0.999058	37.163505	37.128483	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	134862	0.999057	29.687933	29.659949	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	88562192	44086402	12711434	2.008832	3.468248	6.967128	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	79583339	34396605	11737690	2.313698	2.930441	6.780153	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	179218	0.999057	22.340245	22.319187	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003772	275836	0.999058	14.515045	14.501370	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	231763	0.999057	17.275298	17.259010	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	88083	0.999057	45.454571	45.411714	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	48558	0.999057	82.453458	82.375716	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	187889	0.999057	21.309268	21.289165	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	186750	0.999057	21.439218	21.419009	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003771	83090	0.999058	48.185955	48.140570	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	53675	0.999057	74.592939	74.522590	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003772	129275	0.999058	30.970969	30.941791	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	3354477	266356	145846	12.593961	1.826283	23.000130	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	26709	0.999057	149.903628	149.762252	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	25397	0.999057	157.647517	157.498917	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	156488	0.999056	25.585208	25.561065	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	3767530	150684	83618	25.002854	1.802052	45.056447	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003719	6352	0.999071	630.308407	629.722922	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003725	6804	0.999070	588.436949	587.889477	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	29445	0.999057	135.974699	135.846493	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	22846	0.999057	175.250635	175.085354	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	81583	25130	20506	3.246439	1.225495	3.978494	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	0	4252	5332	0.000000	0.797449	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	324226	0.999057	12.348714	12.337074	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	288781	0.999057	13.864399	13.851327	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	102161	0.999057	39.190836	39.153885	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	3528017	1642634	636598	2.147780	2.580332	5.541986	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003764	31002	0.999060	129.145345	129.023934	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003773	165386	0.999058	24.208657	24.185844	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	306352	0.999057	13.069201	13.056876	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	319481	0.999056	12.532132	12.520306	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003773	100370	0.999058	39.890136	39.852546	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7210522	3958277	1.109490	1.821631	2.021081	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003773	90888	0.999058	44.051723	44.010210	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003772	74506	0.999058	53.737578	53.686951	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	124407	0.999057	32.182892	32.152532	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003714	4589	0.999072	872.458924	871.649597	1000000
PageCharset	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	13587860	8894	9976	1527.755790	0.891540	1362.054932	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003734	7336	0.999067	545.765267	545.256270	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003747	57140	0.999064	70.069076	70.003500	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003739	8324	0.999066	480.987386	480.538203	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003724	25530	0.999070	156.824285	156.678418	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004792	694319	0.999401	11.528983	11.522081	18077896
OriginalURL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	27797671	21268894	4885910	1.306964	4.353108	5.689354	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003836	3815763	0.999042	1.049288	1.048283	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003712	4458	0.999073	898.096007	897.263347	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003712	4458	0.999073	898.096007	897.263347	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003712	4458	0.999073	898.096007	897.263347	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	82932	0.999057	48.277806	48.232287	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003712	4458	0.999073	898.096007	897.263347	1000000
HitColor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	1000000	33644	29747	29.722982	1.131005	33.616835	1000000
LocalEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7355400	4023400	1.087636	1.828155	1.988368	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003769	143259	0.999059	27.947766	27.921457	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	107898	0.999057	37.107027	37.072050	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	122838	0.999057	32.593937	32.563213	1000000
Interests	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	193828	0.999057	20.656324	20.636853	2180312
Robotness	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	173390	0.999057	23.091153	23.069381	1423051
RemoteIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003780	426838	0.999056	9.380093	9.371237	10016734
WindowName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003765	71136	0.999060	56.283246	56.230319	2197789
OpenerName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003715	4461	0.999072	897.492715	896.659942	2000000
HistoryLength	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003757	55579	0.999062	72.037226	71.969629	1940175
BrowserLanguage	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	2001192	42550	27587	47.031539	1.542393	72.541124	2001192
