column	type	best_encoding	compression	winner_metric	physical_bytes	baseline_encoded_bytes	target_bytes	encoded_bytes	compressed_bytes	post_compression_no_encoding_bytes	post_compression_no_encoding_ratio	post_encoding_ratio	post_compression_ratio	encoding_compression_ratio_improvement_pct	codec_ratio	int_encoding	date_encoding	timestamp_encoding	string_encoding	experiment	result_file	column_stats_tsv
AdvEngineID	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005053	22787	34609	22787	30696	130.474752	115.722876	175.760434	34.708386	1.518805	rle-dict	plain	plain	plain	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-plain-ts-plain_columns.tsv
Age	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005052	117935	186008	117935	142624	28.081193	21.531612	33.959825	20.934413	1.577208	rle-dict	delta-binary-packed	rle-dict	plain	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict_columns.tsv
BrowserCountry	string	rle-dict	zstd-3	compressed_bytes	3325142	7329878	69192	136881	69192	122222	59.971838	53.549273	105.935339	76.641808	1.978278	rle-dict	rle-dict	delta-binary-packed	rle-dict	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv
BrowserLanguage	string	rle-dict	zstd-3	compressed_bytes	2001192	6005761	27489	42266	27489	32361	185.586385	142.094378	218.478701	17.723453	1.537560	rle-dict	delta-binary-packed	plain	rle-dict	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv
CLID	int32	plain	zstd-3	compressed_bytes	4000000	4005054	5627	4003542	5627	5641	709.990073	1.000378	711.756531	0.248800	711.487827	plain	rle-dict	delta-binary-packed	plain	rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-delta-binary-packed_columns.tsv
ClientEventTime	timestamp_millis	plain	zstd-3	compressed_bytes	8000000	8006314	2474093	8004796	2474093	2475752	3.233892	1.000190	3.236060	0.067055	3.235447	delta-binary-packed	delta-binary-packed	plain	rle-dict	rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-delta-binary-packed-str-rle-dict-date-delta-binary-packed-ts-plain_columns.tsv
ClientIP	int32	plain	zstd-3	compressed_bytes	4000000	4005050	408058	4003592	408058	408069	9.814639	1.000364	9.814904	0.002696	9.811331	plain	plain	plain	delta-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
ClientTimeZone	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005051	84413	164301	84413	99924	40.080972	24.376303	47.445903	18.375132	1.946395	rle-dict	delta-binary-packed	plain	plain	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-delta-binary-packed-ts-plain_columns.tsv
CodeVersion	int32	plain	zstd-3	compressed_bytes	4000000	4005053	7031	4003547	7031	7064	566.966733	1.000376	569.627791	0.469350	569.413597	plain	delta-binary-packed	plain	delta-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-plain_columns.tsv
ConnectTiming	int32	plain	zstd-3	compressed_bytes	4000000	4005051	333011	4003660	333011	333314	12.015850	1.000347	12.026783	0.090988	12.022606	plain	delta-binary-packed	rle-dict	delta-length-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv
CookieEnable	int16	plain	zstd-3	compressed_bytes	4000000	4005052	6053	4003539	6053	6094	657.212340	1.000378	661.663968	0.677350	661.414010	plain	delta-binary-packed	rle-dict	plain	rows-1000000-comp-zstd-3-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-delta-binary-packed-ts-rle-dict_columns.tsv
CounterClass	int16	plain	zstd-3	compressed_bytes	4000000	4005054	4228	4003527	4228	4240	944.588208	1.000381	947.269158	0.283822	946.907994	plain	delta-binary-packed	plain	delta-length-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain_columns.tsv
