column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	7991052	7991833	0	0	7991833	1.001120	0.999902	1.001022	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	197538	68107	0	0	68107	20.249268	2.900407	58.731114	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:512	1000000	138409995	64479476	13979020	0	0	13979020	2.146574	4.612589	9.901266	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	43672	5739	0	0	5739	91.591867	7.609688	696.985538	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	7352951	4030902	58	2256773	1774129	1.087999	1.824145	1.984667	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	50871	6383	0	0	6383	78.630261	7.969763	626.664578	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	46394	5941	0	0	5941	86.218045	7.809123	673.287325	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	3744594	861092	0	0	861092	1.068207	4.348657	4.645264	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1485796	465450	0	0	465450	2.692160	3.192171	8.593834	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	4397252	761596	0	0	761596	1.819318	5.773733	10.504257	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	43136	5013	0	0	5013	92.729970	8.604827	797.925394	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	845352	216884	0	0	216884	4.731757	3.897715	18.443039	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	685521	235972	0	0	235972	5.834978	2.905095	16.951164	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:334	1000000	88562192	40456935	15064389	0	0	15064389	2.189048	2.685601	5.878910	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:324	1000000	79583339	38991810	14564210	0	0	14564210	2.041027	2.677235	5.464309	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	234141	98812	0	0	98812	17.083723	2.369560	40.480913	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1862638	521633	0	0	521633	2.147492	3.570783	7.668227	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1366119	336463	0	0	336463	2.928003	4.060235	11.888380	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1081843	203068	0	0	203068	3.697394	5.327491	19.697835	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	720822	100232	0	0	100232	5.549220	7.191536	39.907415	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1282786	410109	0	0	410109	3.118213	3.127915	9.753505	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1340480	359319	0	0	359319	2.984006	3.730613	11.132169	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	550939	136683	0	0	136683	7.260332	4.030779	29.264795	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	398152	93046	0	0	93046	10.046414	4.279088	42.989489	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	523497	199529	0	0	199529	7.640922	2.623664	20.047211	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:58	1000000	3354477	1042331	326563	0	0	326563	3.218245	3.191822	10.272067	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	159704	42617	0	0	42617	25.046336	3.747425	93.859258	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	196919	36815	0	0	36815	20.312921	5.348880	108.651365	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	660317	259643	0	0	259643	6.057697	2.543173	15.405769	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:58	1000000	3767530	860057	179415	0	0	179415	4.380558	4.793674	20.998969	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	46620	7598	0	0	7598	85.800086	6.135825	526.454330	1000000
JavascriptEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	47607	8263	0	0	8263	84.021257	5.761467	484.085683	1000000
IsMobile	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	114724	33247	0	0	33247	34.866288	3.450657	120.311607	1000000
MobilePhone	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	144954	39732	0	0	39732	27.594961	3.648294	100.674519	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:58	1000000	81583	283642	40983	0	0	40983	0.287627	6.920967	1.990655	81583
Params	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:58	1000000	0	81342	3732	0	0	3732	0.000000	21.795820	0.000000	0
IPNetworkID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	2653186	782472	0	0	782472	1.507621	3.390774	5.112004	6865544
TraficSourceID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	496550	238218	0	0	238218	8.055584	2.084435	16.791342	1728158
SearchEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	378297	151061	0	0	151061	10.573703	2.504266	26.479369	1006573
SearchPhrase	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:58	1000000	3528017	2959960	826439	0	0	826439	1.191914	3.581583	4.268938	3528108
AdvEngineID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	201927	45105	0	0	45105	19.809139	4.476821	88.681964	1004631
