column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	7988400	7988624	0	0	7988624	1.001452	0.999972	1.001424	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	198162	67960	0	0	67960	20.185505	2.915862	58.858152	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:522	1000000	138409995	142873292	13946946	0	0	13946946	0.968760	10.244056	9.924036	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43591	5614	0	0	5614	91.762061	7.764695	712.504453	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004558	2516678	0	0	2516678	0.999431	3.180605	3.178794	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	4000000	4952	5978	57	1254	4724	807.754443	0.828371	669.120107	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	46276	5905	0	0	5905	86.437894	7.836749	677.392041	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	3744971	860643	0	0	860643	1.068099	4.351364	4.647688	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	1485401	463745	0	0	463745	2.692876	3.203056	8.625430	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	4384283	761045	0	0	761045	1.824700	5.760872	10.511862	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	43059	4932	0	0	4932	92.895794	8.730535	811.030008	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	844787	216080	0	0	216080	4.734921	3.909603	18.511662	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	4000000	686522	236309	0	0	236309	5.826470	2.905188	16.926990	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:348	1000000	88562192	92648688	15298922	0	0	15298922	0.955893	6.055896	5.788786	88563396
