column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	7989725	7990506	0	0	7990506	1.001286	0.999902	1.001188	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	197896	68025	0	0	68025	20.212637	2.909166	58.801911	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:512	1000000	138409995	142873218	13946791	0	0	13946791	0.968761	10.244164	9.924146	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	43674	5710	0	0	5710	91.587672	7.648687	700.525394	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	7352575	4030847	58	2256558	1774289	1.088054	1.824077	1.984695	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	5040	6084	58	1276	4808	793.650794	0.828402	657.462196	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	46468	5963	0	0	5963	86.080744	7.792722	670.803287	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	3747719	859710	0	0	859710	1.067316	4.359283	4.652732	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1484741	464447	0	0	464447	2.694073	3.196793	8.612393	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	4390888	760460	0	0	760460	1.821955	5.773989	10.519948	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	43122	5009	0	0	5009	92.760076	8.608904	798.562587	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	843341	216248	0	0	216248	4.743040	3.899879	18.497281	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	687026	236074	0	0	236074	5.822196	2.910215	16.943840	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:336	1000000	88562192	92648954	15301281	0	0	15301281	0.955890	6.054980	5.787894	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:324	1000000	79583339	83647148	14213083	0	0	14213083	0.951417	5.885222	5.599302	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	233999	98917	0	0	98917	17.094090	2.365610	40.437943	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1863398	522232	0	0	522232	2.146616	3.568142	7.659431	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1366749	336739	0	0	336739	2.926653	4.058778	11.878636	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1081286	203270	0	0	203270	3.699299	5.319457	19.678260	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	721391	99981	0	0	99981	5.544843	7.215281	40.007601	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1282199	410283	0	0	410283	3.119641	3.125158	9.749368	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	1341007	358942	0	0	358942	2.982833	3.735999	11.143862	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	552682	136543	0	0	136543	7.237435	4.047677	29.294801	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	398798	93241	0	0	93241	10.030141	4.277067	42.899583	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	523711	199670	0	0	199670	7.637800	2.622883	20.033055	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	3354477	7357886	247683	0	0	247683	0.455902	29.706867	13.543428	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	159772	42520	0	0	42520	25.035676	3.757573	94.073377	1000000
NetMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	197352	36867	0	0	36867	20.268353	5.353080	108.498115	1000000
UserAgentMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	661531	259692	0	0	259692	6.046580	2.547368	15.402862	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	3767530	7770933	137235	0	0	137235	0.484823	56.625008	27.453128	3777059
CookieEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	4000000	46567	7544	0	0	7544	85.897739	6.172720	530.222694	1000000
