column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004558	8005362	0	0	8005362	0.999431	0.999900	0.999330	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	64123	0	0	64123	0.999105	62.436021	62.380113	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:528	1000000	138409995	64475339	13981029	0	0	13981029	2.146712	4.611630	9.899843	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003530	4921	0	0	4921	0.999118	813.560252	812.842918	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	8000000	7359703	4041475	57	2256619	1784856	1.087000	1.821044	1.979475	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003528	4919	0	0	4919	0.999119	813.890628	813.173409	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003527	4936	0	0	4936	0.999119	811.087318	810.372771	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003600	408182	0	0	408182	0.999101	9.808370	9.799550	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	190725	0	0	190725	0.999104	20.991422	20.972605	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004556	617987	0	0	617987	0.999431	12.952628	12.945256	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0	0	4236	0.999119	945.120161	944.287063	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	106910	0	0	106910	0.999105	37.448153	37.414648	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	133855	0	0	133855	0.999104	29.909880	29.883082	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:356	1000000	88562192	40465757	15085689	0	0	15085689	2.188571	2.682394	5.870610	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:328	1000000	79583339	38991609	14559562	0	0	14559562	2.041038	2.678076	5.466053	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	178944	0	0	178944	0.999103	22.373424	22.353362	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003591	275231	0	0	275231	0.999103	14.546294	14.533247	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	231312	0	0	231312	0.999104	17.308173	17.292661	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	87526	0	0	87526	0.999104	45.741711	45.700706	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	48056	0	0	48056	0.999104	83.310846	83.236224	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	187256	0	0	187256	0.999104	21.380298	21.361131	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	186166	0	0	186166	0.999104	21.505474	21.486200	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	82209	0	0	82209	0.999104	48.700118	48.656473	1994256
