column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004552	8005357	0	0	8005357	0.999431	0.999899	0.999331	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	63957	0	0	63957	0.999104	62.598089	62.542020	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:526	1000000	138409995	64475137	13976245	0	0	13976245	2.146719	4.613195	9.903232	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003530	4921	0	0	4921	0.999118	813.560252	812.842918	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:57	1000000	8000000	3368172	2886642	0	0	2886642	2.375176	1.166813	2.771386	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	4000000	4951	5977	57	1254	4723	807.917592	0.828342	669.232056	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003527	4935	0	0	4935	0.999119	811.251672	810.536981	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003593	408133	0	0	408133	0.999103	9.809530	9.800727	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	190975	0	0	190975	0.999104	20.963938	20.945150	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004552	618231	0	0	618231	0.999431	12.947510	12.940147	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0	0	4236	0.999119	945.120161	944.287063	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	106134	0	0	106134	0.999105	37.721984	37.688205	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	134980	0	0	134980	0.999105	29.660565	29.634020	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:352	1000000	88562192	40464206	15076200	0	0	15076200	2.188655	2.683979	5.874305	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:326	1000000	79583339	38990461	14542496	0	0	14542496	2.041098	2.681140	5.472468	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	178716	0	0	178716	0.999105	22.401928	22.381880	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	275135	0	0	275135	0.999105	14.551340	14.538318	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	231215	0	0	231215	0.999104	17.315429	17.299916	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	87565	0	0	87565	0.999105	45.721293	45.680352	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	48124	0	0	48124	0.999104	83.193126	83.118610	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	187231	0	0	187231	0.999105	21.383120	21.363984	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	186058	0	0	186058	0.999105	21.517930	21.498672	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	82600	0	0	82600	0.999105	48.469540	48.426150	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	53417	0	0	53417	0.999105	74.949641	74.882528	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	127793	0	0	127793	0.999104	31.328680	31.300619	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	3354477	1041680	326420	0	0	326420	3.220257	3.191226	10.276567	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	26171	0	0	26171	0.999104	152.977991	152.840931	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	24712	0	0	24712	0.999104	162.009833	161.864681	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	155394	0	0	155394	0.999105	25.764077	25.741020	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	3767530	861643	179363	0	0	179363	4.372495	4.803906	21.005057	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003534	6088	0	0	6088	0.999117	657.610710	657.030223	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003540	6530	0	0	6530	0.999116	613.099541	612.557427	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	28840	0	0	28840	0.999105	138.820492	138.696255	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	22564	0	0	22564	0.999105	177.432282	177.273533	1001922
MobilePhoneModel	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:57	1000000	81583	283416	40742	0	0	40742	0.287856	6.956360	2.002430	81583
